<name4> = <val5>	<name4> に <val5> を代入
<name3> . clear ( )	<name3> リストの全ての値を消す
<name2> . clear ( )	リスト <name2> の全ての要素を取り除く
<name4> . clear ( )	<name4> の全ての値を消す
<name1> . clear ( )	<name1> リストの全ての要素を消去する
<name3> . clear ( )	リスト <name3> の全ての値を取り除く
<name6> . clear ( )	<name6> の全ての値を取り除く
<name4> . clear ( )	<name4> リストの全ての値を消去する
<name3> . clear ( )	<name3> の全ての要素を消去する
<name1> . clear ( )	リスト <name1> の全ての値を消す
<name1> . clear ( )	リスト <name1> の全ての要素を削除する
<name3> . clear ( )	<name3> リストの全ての値を取り除く
<name6> . remove ( <name2> )	<name6> 内の <name2> と等しい要素の先頭を取り除く
<name1> . remove ( <name4> )	<name1> の <name4> と同じ値を消去する
<name6> . remove ( <name2> )	<name6> の中の <name2> と同じ要素の最初を削除する
<name6> . remove ( <name5> )	<name6> リストの <name5> と同じ要素を取り除く
<name3> . remove ( <name2> )	<name3> 内の <name2> と等しい要素の最初を取り除く
<name6> . remove ( <name5> )	<name6> リストの中の <name5> と等しい要素の最初を取り除く
<name3> . remove ( <name5> )	リスト <name3> の <name5> と同じ要素を取り除く
<name2> . remove ( <name5> )	<name2> リスト内の <name5> と等しい要素の最初を消去する
<name1> . remove ( <name6> )	<name1> の中の <name6> と同じ要素の最初を取り除く
<name3> . remove ( <name4> )	リスト <name3> の <name4> と同じ値を消去する
<name6> . remove ( <name1> )	リスト <name6> の中の <name1> と同じ要素の最初を消去する
<name4> . remove ( <name3> )	<name4> リスト内の <name3> と等しい値の最初を消去する
<name2> . remove ( <name6> )	<name2> リストの <name6> と同じ値を消す
<name1> . remove ( <name2> )	<name1> リストの <name2> と同じ要素を削除する
<name3> . remove ( <name1> )	リスト <name3> の中の <name1> と同じ要素の最初を消す
<name6> . remove ( <name1> )	<name6> の中の <name1> と同じ値の最初を消去する
<name6> . remove ( <name2> )	<name6> 内の <name2> と等しい値の最初を消す
<name5> . remove ( <name4> )	<name5> の <name4> と同じ値を削除する
<name2> . remove ( <name3> )	リスト <name2> の中の <name3> と同じ値の最初を削除する
<name4> . remove ( <name2> )	リスト <name4> の中の <name2> と等しい値の最初を削除する
<name2> . remove ( <name4> )	<name2> リスト内の <name4> と等しい要素の先頭を削除する
<name5> . remove ( <name4> )	<name5> リスト内の <name4> と等しい値の最初を削除する
<name5> . remove ( <name2> )	<name5> 内の <name2> と等しい値の先頭を消す
<name6> . remove ( <name2> )	リスト <name6> 内の <name2> と等しい要素の先頭を削除する
<name2> . remove ( <name1> )	<name2> リストの中の <name1> と同じ値の最初を消す
<name6> . remove ( <name1> )	<name6> の中の <name1> と等しい値の最初を取り除く
<name3> . remove ( <name4> )	<name3> 内の <name4> と等しい要素の先頭を削除する
<name6> . remove ( <name3> )	<name6> リストの中の <name3> と同じ要素の最初を取り除く
<name6> . remove ( <name5> )	<name6> リストの中の <name5> と等しい値の最初を消去する
<name2> . remove ( <name4> )	<name2> の <name4> と同じ要素を取り除く
<name4> . remove ( <name2> )	<name4> リストの中の <name2> と同じ値の最初を削除する
<name3> . remove ( <name6> )	リスト <name3> の中の <name6> と同じ値の最初を取り除く
<name3> . remove ( <name1> )	リスト <name3> の中の <name1> と等しい要素の最初を消去する
<name5> . remove ( <name3> )	<name5> リストの中の <name3> と等しい要素の最初を削除する
<name3> . remove ( <name4> )	リスト <name3> の中の <name4> と等しい値の最初を取り除く
<name6> . remove ( <name2> )	リスト <name6> の中の <name2> と同じ要素の最初を削除する
<name5> . remove ( <name4> )	リスト <name5> の中の <name4> と同じ値の最初を消去する
<name6> . remove ( <name5> )	<name6> リストの <name5> と同じ要素を消去する
<name6> . remove ( <name4> )	<name6> の中の <name4> と等しい値の最初を消去する
<name1> . remove ( <name2> )	<name1> リスト内の <name2> と等しい要素の最初を削除する
<name1> . remove ( <name2> )	リスト <name1> 内の <name2> と等しい要素の先頭を消す
<name5> . remove ( <name1> )	<name5> の <name1> と同じ値を消す
<name1> . remove ( <name2> )	<name1> の <name2> と同じ要素を消去する
<name4> . remove ( <name5> )	<name4> リストの <name5> と同じ値を消去する
<name3> . remove ( <name2> )	<name3> の <name2> と同じ値を取り除く
<name1> . remove ( <name6> )	リスト <name1> 内の <name6> と等しい値の先頭を取り除く
<name5> . remove ( <name3> )	<name5> リストの中の <name3> と等しい要素の最初を消去する
<name4> . remove ( <name3> )	リスト <name4> の中の <name3> と同じ値の最初を消す
<name5> . remove ( <name2> )	<name5> 内の <name2> と等しい要素の最初を削除する
<name3> . remove ( <name5> )	リスト <name3> の <name5> と同じ値を消す
<name3> . remove ( <name1> )	<name3> リストの <name1> と同じ値を削除する
<name1> . remove ( <name3> )	リスト <name1> 内の <name3> と等しい要素の先頭を取り除く
<name5> . remove ( <name2> )	リスト <name5> の <name2> と同じ要素を消去する
<name3> . remove ( <name6> )	リスト <name3> の中の <name6> と等しい要素の最初を削除する
<name1> . remove ( <name6> )	リスト <name1> 内の <name6> と等しい値の最初を消去する
<name4> . remove ( <name1> )	リスト <name4> の中の <name1> と等しい要素の最初を取り除く
<name3> . remove ( <name1> )	<name3> 内の <name1> と等しい値の先頭を取り除く
<name1> . remove ( <name3> )	リスト <name1> の <name3> と同じ値を削除する
<name2> . remove ( <name6> )	<name2> の <name6> と同じ要素を削除する
<name5> . remove ( <name4> )	リスト <name5> の中の <name4> と等しい値の最初を消去する
<name4> . remove ( <name1> )	<name4> の <name1> と同じ要素を消す
<name5> . remove ( <name6> )	<name5> リスト内の <name6> と等しい要素の先頭を消去する
<name6> . remove ( <name2> )	<name6> リストの中の <name2> と等しい値の最初を取り除く
<name5> . remove ( <name2> )	リスト <name5> 内の <name2> と等しい値の先頭を消す
<name2> . remove ( <name5> )	<name2> の中の <name5> と等しい要素の最初を削除する
<name2> . remove ( <name6> )	<name2> 内の <name6> と等しい要素の最初を消す
<name2> . remove ( <name6> )	<name2> リストの中の <name6> と同じ要素の最初を消去する
<name4> . remove ( <name5> )	リスト <name4> の <name5> と同じ値を取り除く
<name6> . remove ( <name3> )	<name6> の中の <name3> と等しい値の最初を消す
<name4> . remove ( <name6> )	リスト <name4> の <name6> と同じ要素を削除する
del <name5> [ <val4> ]	<name5> の <val4> 番目の要素を取り除く
del <name3> [ <val6> ]	<name3> リストの <val6> 番目の要素を削除する
del <name6> [ <val3> ]	リスト <name6> の <val3> 番目の要素を消す
del <name6> [ <val3> ]	リスト <name6> の <val3> 番目の値を消す
del <name4> [ <val5> ]	<name4> リストの <val5> 番目の値を消去する
del <name3> [ <val6> ]	<name3> リストの <val6> 番目の値を消す
del <name5> [ <val3> ]	<name5> リストの <val3> 番目の値を取り除く
del <name2> [ <val6> ]	<name2> の <val6> 番目の値を取り除く
del <name4> [ <val2> ]	<name4> の <val2> 番目の値を消す
del <name5> [ <val2> ]	<name5> リストの <val2> 番目の要素を取り除く
del <name3> [ <val6> ]	リスト <name3> の <val6> 番目の要素を消去する
del <name4> [ <val2> ]	リスト <name4> の <val2> 番目の値を消去する
del <name2> [ <val1> ]	リスト <name2> の <val1> 番目の要素を削除する
del <name5> [ <val4> ]	<name5> リストの <val4> 番目の要素を消去する
del <name3> [ <val5> ]	<name3> の <val5> 番目の要素を消去する
del <name1> [ <val3> ]	<name1> の <val3> 番目の要素を削除する
del <name3> [ <val5> ]	リスト <name3> の <val5> 番目の要素を取り除く
del <name4> [ <val6> ]	<name4> の <val6> 番目の値を削除する
del <name2> [ <val1> ]	リスト <name2> の <val1> 番目の値を削除する
del <name5> [ <val2> ]	<name5> の <val2> 番目の要素を消す
del <name3> [ <val5> ]	<name3> リストの <val5> 番目の要素を消す
del <name1> [ <val5> ]	<name1> リストの <val5> 番目の値を削除する
del <name1> [ <val2> ]	<name1> の <val2> 番目の値を消去する
del <name2> [ <val1> ]	リスト <name2> の <val1> 番目の値を取り除く
<name3> . index ( <name4> )	<name3> 内の <name4> が存在する先頭の場所を取得する
<name3> . index ( <name1> )	<name3> の中の <name1> が存在する最初のインデックスを得る
<name3> . index ( <name4> )	<name3> 内の <name4> が存在する先頭のインデックスを得る
<name6> . index ( <name1> )	存在するインデックスをリスト <name6> の <name1> が得る
<name2> . index ( <name6> )	<name2> の <name6> が存在するインデックスを得る
<name5> . index ( <name4> )	<name5> の <name4> が存在するインデックスを取得する
<name6> . index ( <name1> )	<name6> リストの <name1> が存在するインデックスを取得する
<name6> . index ( <name3> )	存在する最初のインデックスを <name6> リストの中の <name3> が得る
<name1> . index ( <name3> )	リスト <name1> 内の <name3> が存在する先頭のインデックスを取得する
<name4> . index ( <name6> )	リスト <name4> の中の <name6> が存在する最初のインデックスを得る
<name6> . index ( <name5> )	存在する先頭の場所を <name6> リスト内の <name5> が得る
<name5> . index ( <name4> )	存在するインデックスを <name5> の <name4> が得る
<name4> . index ( <name3> )	存在する最初の場所を <name4> の中の <name3> が得る
<name5> . index ( <name6> )	<name5> リスト内の <name6> が存在する先頭のインデックスを得る
<name1> . index ( <name4> )	存在する先頭の場所をリスト <name1> 内の <name4> が得る
<name4> . index ( <name2> )	存在する最初のインデックスを <name4> の中の <name2> が取得する
<name2> . index ( <name5> )	存在するインデックスを <name2> の <name5> が取得する
<name5> . index ( <name2> )	存在するインデックスを <name5> リストの <name2> が取得する
<name3> . index ( <name2> )	リスト <name3> の <name2> が存在するインデックスを取得する
<name2> . index ( <name3> )	リスト <name2> の中の <name3> が存在する最初のインデックスを取得する
<name1> . index ( <name6> )	存在する先頭の場所を <name1> リスト内の <name6> が取得する
<name6> . index ( <name1> )	<name6> リスト内の <name1> が存在する先頭の場所を得る
<name6> . index ( <name4> )	<name6> の中の <name4> が存在する最初のインデックスを取得する
<name2> . index ( <name4> )	<name2> リスト内の <name4> が存在する先頭の場所を取得する
<name2> . index ( <name6> )	<name2> 内の <name6> が存在する先頭のインデックスを取得する
<name4> . index ( <name6> )	存在する最初のインデックスを <name4> 内の <name6> が取得する
<name4> . index ( <name6> )	<name4> の中の <name6> が存在する最初の場所を取得する
<name4> . index ( <name1> )	<name4> 内の <name1> が存在する先頭の場所を得る
<name3> . index ( <name6> )	<name3> リストの <name6> が存在するインデックスを得る
<name1> . index ( <name3> )	存在する先頭の場所を <name1> 内の <name3> が取得する
<name2> . index ( <name1> )	存在する先頭のインデックスを <name2> 内の <name1> が取得する
<name3> . index ( <name2> )	存在する最初のインデックスを <name3> の中の <name2> が得る
<name3> . index ( <name1> )	リスト <name3> 内の <name1> が存在する先頭の場所を取得する
<name4> . index ( <name3> )	<name4> リストの中の <name3> が存在する最初のインデックスを得る
<name2> . index ( <name5> )	存在する最初のインデックスをリスト <name2> の中の <name5> が得る
<name4> . index ( <name3> )	存在する最初のインデックスを <name4> リスト内の <name3> が得る
<name5> . index ( <name1> )	存在する最初の場所を <name5> の中の <name1> が取得する
<name2> . index ( <name5> )	存在する最初の場所を <name2> リスト内の <name5> が得る
<name5> . index ( <name6> )	リスト <name5> の <name6> が存在するインデックスを得る
<name5> . index ( <name1> )	<name5> 内の <name1> が存在する最初のインデックスを取得する
<name1> . index ( <name2> )	存在する最初のインデックスをリスト <name1> の中の <name2> が取得する
<name6> . index ( <name4> )	<name6> リストの中の <name4> が存在する最初の場所を得る
<name1> . index ( <name6> )	存在する最初の場所をリスト <name1> 内の <name6> が得る
<name2> . index ( <name3> )	存在する最初のインデックスを <name2> リスト内の <name3> が取得する
<name4> . index ( <name3> )	<name4> リストの中の <name3> が存在する最初のインデックスを取得する
<name6> . index ( <name2> )	<name6> リスト内の <name2> が存在する最初の場所を得る
<name5> . index ( <name1> )	存在する先頭の場所をリスト <name5> 内の <name1> が取得する
<name6> . index ( <name4> )	存在する先頭のインデックスをリスト <name6> 内の <name4> が得る
<name2> . index ( <name5> )	存在する最初の場所をリスト <name2> の中の <name5> が得る
<name6> . index ( <name4> )	存在する先頭のインデックスを <name6> リスト内の <name4> が得る
<name1> . index ( <name2> )	存在する最初のインデックスをリスト <name1> 内の <name2> が取得する
<name3> . index ( <name5> )	存在するインデックスをリスト <name3> の <name5> が取得する
<name4> . index ( <name1> )	リスト <name4> 内の <name1> が存在する先頭の場所を得る
<name1> . index ( <name6> )	リスト <name1> 内の <name6> が存在する最初のインデックスを得る
<name2> . index ( <name6> )	リスト <name2> の中の <name6> が存在する最初の場所を取得する
<name6> . index ( <name5> )	存在する最初のインデックスを <name6> 内の <name5> が得る
<name5> . index ( <name1> )	存在する最初のインデックスを <name5> リストの中の <name1> が取得する
<name4> . index ( <name3> )	存在する最初の場所を <name4> リストの中の <name3> が取得する
<name2> . index ( <name1> )	<name2> 内の <name1> が存在する最初の場所を得る
<name2> . index ( <name6> )	存在するインデックスを <name2> リストの <name6> が得る
<name6> . index ( <name5> )	存在する先頭のインデックスをリスト <name6> 内の <name5> が取得する
<name4> . index ( <name6> )	<name4> リスト内の <name6> が存在する先頭のインデックスを取得する
<name6> . index ( <name3> )	リスト <name6> の中の <name3> が存在する最初の場所を得る
<name4> . index ( <name2> )	<name4> リストの中の <name2> が存在する最初の場所を取得する
<name2> . index ( <name4> )	存在する最初の場所を <name2> 内の <name4> が取得する
<name4> . index ( <name5> )	<name4> 内の <name5> が存在する最初の場所を取得する
<name4> . index ( <name3> )	<name4> リスト内の <name3> が存在する最初の場所を取得する
<name6> . index ( <name2> )	存在する最初の場所をリスト <name6> の中の <name2> が取得する
<name6> . sort ( )	<name6> を昇順にソートする
<name4> . sort ( )	<name4> リストを小さい順に並べ変える
<name3> . sort ( )	リスト <name3> を小さい方から順に並べ直す
<name2> . sort ( )	リスト <name2> を昇順にソートする
<name4> . sort ( )	<name4> を小さい順に並べ変える
<name1> . sort ( )	リスト <name1> を小さい順に並べ変える
<name5> . sort ( )	<name5> リストを昇順にソートする
<name6> . sort ( )	<name6> を小さい順に並べる
<name4> . sort ( )	<name4> を小さい方から順に並べ直す
<name4> . sort ( )	<name4> リストを小さい順に並べる
<name6> . sort ( )	<name6> リストを小さい方から順に並べ直す
<name6> . sort ( )	<name6> を小さい方から順に並べ変える
<name2> . sort ( )	<name2> リストを小さい方から順に並べ変える
<name6> . sort ( )	<name6> リストを昇順に並べる
<name5> . sort ( )	リスト <name5> を昇順に並べる
<name3> . sort ( )	リスト <name3> を小さい方から順に並べ変える
<name2> . sort ( )	リスト <name2> を小さい順に並べる
<name3> . sort ( )	<name3> を昇順に並べる
<name1> = <name4> . sort ( )	<name4> を昇順にソートし、 <name1> に代入する
<name5> = <name3> . sort ( )	<name3> を昇順にソートされた結果を <name5> にする
<name4> = <name1> . sort ( )	<name1> を小さい方から順に並べ直し、 <name4> に代入する
<name6> = <name5> . sort ( )	<name5> を小さい方から順に並べ直した結果を <name6> とする
<name5> = <name3> . sort ( )	<name3> リストを昇順にソートして、 <name5> とする
<name3> = <name1> . sort ( )	<name1> リストを昇順にソートした結果を <name3> に代入する
<name2> = <name5> . sort ( )	<name5> を小さい順に並べ変えて、 <name2> に代入する
<name4> = <name1> . sort ( )	<name1> を小さい順に並べ変えた結果を <name4> に代入する
<name6> = <name1> . sort ( )	リスト <name1> を小さい順に並べ変え、 <name6> とする
<name2> = <name6> . sort ( )	リスト <name6> を小さい順に並べ変えた結果を <name2> にする
<name1> = <name4> . sort ( )	<name4> リストを小さい方から順に並べ変え、 <name1> にする
<name1> = <name3> . sort ( )	<name3> リストを小さい方から順に並べ変えた結果を <name1> にする
<name4> = <name3> . sort ( )	リスト <name3> を小さい順に並べ、 <name4> とする
<name6> = <name5> . sort ( )	リスト <name5> を小さい順に並べた結果を <name6> に代入する
<name2> = <name3> . sort ( )	<name3> リストを小さい方から順に並べ直して、 <name2> とする
<name4> = <name2> . sort ( )	<name2> リストを小さい方から順に並べ直された結果を <name4> に代入する
<name3> = <name2> . sort ( )	リスト <name2> を昇順にソートし、 <name3> にする
<name1> = <name5> . sort ( )	リスト <name5> を昇順にソートされた結果を <name1> にする
<name5> = <name6> . sort ( )	リスト <name6> を昇順に並べ、 <name5> に代入する
<name6> = <name1> . sort ( )	リスト <name1> を昇順に並べた結果を <name6> にする
<name3> = <name5> . sort ( )	リスト <name5> を小さい方から順に並べ直して、 <name3> とする
<name6> = <name4> . sort ( )	リスト <name4> を小さい方から順に並べ直した結果を <name6> とする
<name4> = <name2> . sort ( )	<name2> を小さい順に並べ、 <name4> に代入する
<name5> = <name1> . sort ( )	<name1> を小さい順に並べた結果を <name5> に代入する
<name6> = <name3> . sort ( )	<name3> リストを昇順に並べて、 <name6> とする
<name1> = <name2> . sort ( )	<name2> リストを昇順に並べた結果を <name1> にする
<name3> = <name6> . sort ( )	<name6> を昇順に並べ、 <name3> にする
<name5> = <name6> . sort ( )	<name6> を昇順に並べられた結果を <name5> にする
<name1> = <name2> . sort ( )	リスト <name2> を小さい方から順に並べ変え、 <name1> にする
<name4> = <name5> . sort ( )	リスト <name5> を小さい方から順に並べ変えた結果を <name4> とする
<name6> = <name1> . sort ( )	<name1> リストを小さい順に並べて、 <name6> にする
<name6> = <name5> . sort ( )	<name5> リストを小さい順に並べた結果を <name6> に代入する
<name6> = <name3> . sort ( )	<name3> を小さい方から順に並べ変え、 <name6> とする
<name3> = <name4> . sort ( )	<name4> を小さい方から順に並べ変えた結果を <name3> とする
<name1> = <name3> . sort ( )	<name3> リストを小さい順に並べ変えて、 <name1> にする
<name4> = <name5> . sort ( )	<name5> リストを小さい順に並べ変えられた結果を <name4> とする
<name4> . sort ( reverse = True )	<name4> を降順にソートする
<name4> . sort ( reverse = True )	リスト <name4> を大きい順に並べる
<name6> . sort ( reverse = True )	<name6> を大きい順に並べる
<name6> . sort ( reverse = True )	リスト <name6> を逆順に並べ変える
<name3> . sort ( reverse = True )	リスト <name3> を降順にソートする
<name5> . sort ( reverse = True )	<name5> を逆順に並べ変える
<name2> . sort ( reverse = True )	<name2> リストを大きい順に並べる
<name2> . sort ( reverse = True )	<name2> リストを大きい方から順に並べ直す
<name2> . sort ( reverse = True )	<name2> リストを逆順に並べ変える
<name4> . sort ( reverse = True )	<name4> を大きい方から順に並べ直す
<name4> . sort ( reverse = True )	<name4> リストを降順にソートする
<name2> . sort ( reverse = True )	リスト <name2> を大きい方から順に並べ直す
<name1> = <name3> . sort ( reverse = True )	<name3> を降順にソートし、 <name1> とする
<name3> = <name5> . sort ( reverse = True )	<name5> を降順にソートされた結果を <name3> にする
<name5> = <name1> . sort ( reverse = True )	<name1> を大きい方から順に並べ直し、 <name5> に代入する
<name4> = <name2> . sort ( reverse = True )	<name2> を大きい方から順に並べ直した結果を <name4> とする
<name1> = <name4> . sort ( reverse = True )	<name4> を大きい順に並べ、 <name1> にする
<name3> = <name4> . sort ( reverse = True )	<name4> を大きい順に並べた結果を <name3> にする
<name4> = <name5> . sort ( reverse = True )	リスト <name5> を大きい方から順に並べ直して、 <name4> に代入する
<name5> = <name4> . sort ( reverse = True )	リスト <name4> を大きい方から順に並べ直した結果を <name5> にする
<name5> = <name6> . sort ( reverse = True )	リスト <name6> を逆順に並べ変え、 <name5> にする
<name4> = <name1> . sort ( reverse = True )	リスト <name1> を逆順に並べ変えた結果を <name4> とする
<name1> = <name6> . sort ( reverse = True )	<name6> リストを降順にソートし、 <name1> に代入する
<name5> = <name3> . sort ( reverse = True )	<name3> リストを降順にソートされた結果を <name5> にする
<name4> = <name6> . sort ( reverse = True )	<name6> リストを逆順に並べ変え、 <name4> とする
<name5> = <name6> . sort ( reverse = True )	<name6> リストを逆順に並べ変えられた結果を <name5> とする
<name5> = <name4> . sort ( reverse = True )	リスト <name4> を降順にソートして、 <name5> に代入する
<name6> = <name4> . sort ( reverse = True )	リスト <name4> を降順にソートされた結果を <name6> に代入する
<name6> = <name1> . sort ( reverse = True )	リスト <name1> を大きい順に並べて、 <name6> に代入する
<name3> = <name1> . sort ( reverse = True )	リスト <name1> を大きい順に並べられた結果を <name3> とする
<name3> = <name5> . sort ( reverse = True )	<name5> リストを大きい順に並べ、 <name3> とする
<name4> = <name3> . sort ( reverse = True )	<name3> リストを大きい順に並べられた結果を <name4> に代入する
<name3> = <name1> . sort ( reverse = True )	<name1> を逆順に並べ変えて、 <name3> に代入する
<name3> = <name6> . sort ( reverse = True )	<name6> を逆順に並べ変えられた結果を <name3> とする
<name6> = <name1> . sort ( reverse = True )	<name1> リストを大きい方から順に並べ直し、 <name6> とする
<name5> = <name4> . sort ( reverse = True )	<name4> リストを大きい方から順に並べ直された結果を <name5> に代入する
<name1> . reverse ( )	<name1> を降順にする
<name1> . reverse ( )	リスト <name1> を逆順にする
<name1> . reverse ( )	リスト <name1> を大きい方から順にする
<name1> . reverse ( )	<name1> を大きい方から順にする
<name1> . reverse ( )	リスト <name1> を降順にする
<name5> . reverse ( )	リスト <name5> を大きい順にする
<name1> . reverse ( )	<name1> リストを大きい順にする
<name3> . reverse ( )	<name3> を大きい順にする
<name4> . reverse ( )	<name4> リストを逆順にする
<name4> . reverse ( )	<name4> リストを大きい方から順にする
<name6> . reverse ( )	<name6> を逆順にする
<name4> . reverse ( )	<name4> リストを降順にする
<name6> = <name2> . reverse ( )	<name2> を降順にして、 <name6> とする
<name2> = <name3> . reverse ( )	<name3> を降順にした結果を <name2> とする
<name6> = <name5> . reverse ( )	<name5> を大きい順にして、 <name6> に代入する
<name5> = <name3> . reverse ( )	<name3> を大きい順にした結果を <name5> とする
<name4> = <name3> . reverse ( )	<name3> リストを逆順にして、 <name4> に代入する
<name1> = <name6> . reverse ( )	<name6> リストを逆順にした結果を <name1> にする
<name3> = <name1> . reverse ( )	<name1> を逆順にし、 <name3> に代入する
<name4> = <name6> . reverse ( )	<name6> を逆順にした結果を <name4> とする
<name1> = <name4> . reverse ( )	リスト <name4> を降順にして、 <name1> にする
<name6> = <name2> . reverse ( )	リスト <name2> を降順にされた結果を <name6> に代入する
<name3> = <name6> . reverse ( )	リスト <name6> を大きい順にし、 <name3> にする
<name2> = <name3> . reverse ( )	リスト <name3> を大きい順にした結果を <name2> に代入する
<name2> = <name5> . reverse ( )	<name5> を大きい方から順にして、 <name2> とする
<name2> = <name4> . reverse ( )	<name4> を大きい方から順にされた結果を <name2> にする
<name5> = <name2> . reverse ( )	リスト <name2> を大きい方から順にして、 <name5> にする
<name1> = <name2> . reverse ( )	リスト <name2> を大きい方から順にした結果を <name1> とする
<name5> = <name3> . reverse ( )	リスト <name3> を逆順にして、 <name5> にする
<name5> = <name6> . reverse ( )	リスト <name6> を逆順にした結果を <name5> に代入する
<name6> = <name4> . reverse ( )	<name4> リストを大きい順にし、 <name6> にする
<name2> = <name4> . reverse ( )	<name4> リストを大きい順にした結果を <name2> にする
<name1> = <name3> . reverse ( )	<name3> リストを大きい方から順にして、 <name1> にする
<name3> = <name2> . reverse ( )	<name2> リストを大きい方から順にされた結果を <name3> とする
<name5> = <name4> . reverse ( )	<name4> リストを降順にし、 <name5> とする
<name5> = <name1> . reverse ( )	<name1> リストを降順にされた結果を <name5> にする
<name3> . copy ( )	<name3> のコピー
<name1> . copy ( )	<name1> リストのコピー
<name5> . copy ( )	リスト <name5> のコピー
<name4> = <name3> . copy ( )	<name3> のコピーを <name4> に代入する
<name5> = <name3> . copy ( )	<name3> リストのコピーを <name5> に代入する
<name6> = <name2> . copy ( )	リスト <name2> のコピーを <name6> にする
sorted ( <name6> )	<name6> を昇順にソートする
sorted ( <name6> )	<name6> を小さい順に並べ変える
sorted ( <name2> )	<name2> を小さい順に並べる
sorted ( <name1> )	<name1> を小さい方から順に並べ直す
sorted ( <name6> )	<name6> を昇順に並べる
sorted ( <name1> )	<name1> を小さい方から順に並べ変える
sorted ( <name3> )	<name3> を昇順にソートした列
sorted ( <name2> )	<name2> を昇順に並べた列
sorted ( <name5> )	昇順に <name5> を並べ直した列
sorted ( <name5> )	<name5> を昇順に並べ変えた列
sorted ( <name4> )	昇順に <name4> を並べた列
sorted ( <name3> )	<name3> を昇順に並べ直した列
sorted ( <name3> )	昇順に <name3> を並べ変えた列
sorted ( <name5> )	昇順に <name5> をソートした列
sorted ( <name2> , reverse = True )	<name2> を降順にソートする
sorted ( <name6> , reverse = True )	<name6> を逆順にソートする
sorted ( <name4> , reverse = True )	<name4> を大きい方から順にソートする
sorted ( <name4> , reverse = True )	<name4> を大きい順にソートする
sorted ( <name6> , reverse = True )	<name6> を降順にソートした列
sorted ( <name1> , reverse = True )	降順に <name1> をソートした列
sorted ( <name6> , key = <name1> )	<name6> に <name1> 関数を適用してソートする
sorted ( <name5> , key = <name2> )	<name2> 関数を <name5> に適用してソートする
sorted ( <name4> , key = abs )	<name4> を絶対値に直してソートする
sorted ( <name2> , key = abs )	絶対値に <name2> を直してソートする
sorted ( <name5> , key = abs )	<name5> を絶対値に直してソートした列
sorted ( <name6> , key = abs )	絶対値に <name6> を直してソートした列
sorted ( <name5> , key = abs )	<name5> の各要素の絶対値でソートする
reversed ( <name3> )	<name3> を降順にする
reversed ( <name6> )	<name6> を大きい順にする
reversed ( <name5> )	<name5> を大きい方から順にする
reversed ( <name5> )	<name5> を逆順にする
reversed ( <name5> )	<name5> をリバースした列
reversed ( <name6> )	<name6> を反転した列
reversed ( <name4> )	<name4> を逆にした列
all ( <name1> )	<name1> 内の全ての要素が真かどうか
all ( <name6> )	リスト <name6> の全ての要素が真かどうか
all ( <name2> )	<name2> リスト内の全ての要素が真かどうか
all ( <name5> )	リスト <name5> に含まれる全ての要素が真かどうか
all ( <name1> )	<name1> に含まれる全ての要素が真かどうか
all ( <name4> )	リスト <name4> に含まれる全ての値が真かどうか
all ( <name3> )	リスト <name3> の全ての値が真かどうか
all ( <name6> )	リスト <name6> 内の全ての要素が真かどうか
all ( <name3> )	<name3> リストの全ての値が真かどうか
all ( <name4> )	<name4> の全ての値が真かどうか
all ( <name4> )	<name4> に含まれる全ての値が真かどうか
all ( <name4> )	リスト <name4> 内の全ての値が真かどうか
all ( <name2> )	<name2> リスト内の全ての値が真かどうか
all ( <name4> )	<name4> の全ての要素が真かどうか
all ( <name6> )	<name6> リストに含まれる全ての値が真かどうか
all ( <name2> )	<name2> 内の全ての値が真かどうか
all ( <name4> )	<name4> リストに含まれる全ての要素が真かどうか
all ( <name3> )	<name3> リストの全ての要素が真かどうか
all ( <name6> )	<name6> 内の要素が全て真かどうか
all ( <name1> )	リスト <name1> に含まれる要素が全て真かどうか
all ( <name4> )	<name4> リストに含まれる要素が全て真かどうか
all ( <name3> )	リスト <name3> 内の要素が全て真かどうか
all ( <name3> )	リスト <name3> 内の値が全て真かどうか
all ( <name3> )	リスト <name3> の値が全て真かどうか
all ( <name3> )	<name3> の値が全て真かどうか
all ( <name6> )	<name6> リストに含まれる値が全て真かどうか
all ( <name1> )	<name1> リストの値が全て真かどうか
all ( <name1> )	<name1> 内の値が全て真かどうか
all ( <name2> )	<name2> の要素が全て真かどうか
all ( <name6> )	<name6> リスト内の値が全て真かどうか
all ( <name4> )	<name4> に含まれる値が全て真かどうか
all ( <name1> )	リスト <name1> に含まれる値が全て真かどうか
all ( <name5> )	<name5> リストの要素が全て真かどうか
all ( <name3> )	リスト <name3> の要素が全て真かどうか
all ( <name2> )	<name2> に含まれる要素が全て真かどうか
all ( <name5> )	<name5> リスト内の要素が全て真かどうか
any ( <name4> )	<name4> 内の少なくともひとつの要素が真かどうか
any ( <name6> )	<name6> に含まれる少なくともひとつの要素が真かどうか
any ( <name2> )	リスト <name2> 内の少なくともひとつの要素が真かどうか
any ( <name4> )	<name4> に含まれるどれかの値が真かどうか
any ( <name4> )	リスト <name4> のどれかの要素が真かどうか
any ( <name4> )	<name4> リストのどれかの要素が真かどうか
any ( <name5> )	<name5> に含まれる少なくともひとつの値が真かどうか
any ( <name1> )	<name1> リスト内の少なくともひとつの要素が真かどうか
any ( <name6> )	リスト <name6> 内の少なくともひとつの値が真かどうか
