print ( <val3> )	<val3> とプリントする
marker = 'D'	菱形の打点を使う
marker = 'D'	ひし形のマーカーの形を使用する
marker = 'D'	マーカーはダイヤモンドを用いる
marker = 'D'	マーカーの種類はひし形を使う
marker = 'D'	目印は菱形を適用する
marker = 's'	マーカーを正方形とする
marker = 's'	マーカーの形を四角形とする
marker = 's'	マーカーの種類を四角とする
marker = 's'	正方形のマーカーを用いる
marker = 's'	四角形の打点を使う
marker = 's'	正方形のマーカーの形状を用いる
marker = 's'	マーカーは正方形を用いる
marker = 's'	打点は四角形を使う
marker = 's'	マーカーの種類は四角を使う
markersize = <val5>	マーカーの大きさは <val5> を用いる
markersize = <val5>	打点の大きさは <val5> を適用する
markersize = <val2>	目印の大きさは <val2> を適用する
markersize = <val5>	マーカーの大きさを <val5> とする
markersize = <val3>	マーカーの形の大きさを <val3> とする
markersize = <val5>	打点の大きさを <val5> とする
markerfacecolor = 'red'	マーカーの色は赤色を用いる
markerfacecolor = 'red'	目印の色は赤を適用する
markerfacecolor = 'red'	打点の色は赤を使う
markerfacecolor = 'red'	マーカーの色を赤色とする
markerfacecolor = 'red'	マーカーの形の色を赤色とする
markerfacecolor = 'red'	マーカーの形状の色を赤色とする
markerfacecolor = 'blue'	マーカーの色は青色を用いる
markerfacecolor = 'blue'	マーカーの形の色は青色を使用する
markerfacecolor = 'blue'	マーカーの種類の色は青を使う
markerfacecolor = 'blue'	マーカーの色を青色とする
markerfacecolor = 'blue'	マーカーの形の色を青色とする
markerfacecolor = 'blue'	マーカーの形状の色を青色とする
markerfacecolor = 'yellow'	マーカーの色は黄色を用いる
markerfacecolor = 'yellow'	目印の色は黄色を適用する
markerfacecolor = 'yellow'	マーカーの形の色は黄色を使用する
markerfacecolor = 'yellow'	マーカーの色を黄色とする
markerfacecolor = 'yellow'	マーカーの形状の色を黄色とする
markerfacecolor = 'yellow'	目印の色を黄色とする
markerfacecolor = 'gray'	マーカーの色はグレーを用いる
markerfacecolor = 'gray'	マーカーの形の色はグレーを使用する
markerfacecolor = 'gray'	目印の色は灰色を適用する
markerfacecolor = 'gray'	マーカーの色をグレーとする
markerfacecolor = 'gray'	マーカーの形の色をグレーとする
markerfacecolor = 'gray'	目印の色を灰色とする
markerfacecolor = 'navy'	マーカーの色は紺色を用いる
markerfacecolor = 'navy'	マーカーの形の色は紺色を使用する
markerfacecolor = 'navy'	マーカーの種類の色は紺色を使う
markerfacecolor = 'navy'	マーカーの色を紺色とする
markerfacecolor = 'navy'	マーカーの種類の色を紺色とする
markerfacecolor = 'navy'	マーカーの形の色を紺色とする
markerfacecolor = 'greenyellow'	マーカーの色は黄緑色を用いる
markerfacecolor = 'greenyellow'	目印の色は黄緑を適用する
markerfacecolor = 'greenyellow'	マーカーの形の色は黄緑色を使用する
markerfacecolor = 'greenyellow'	マーカーの色を黄緑色とする
markerfacecolor = 'greenyellow'	打点の色を黄緑とする
markerfacecolor = 'greenyellow'	マーカーの種類の色を黄緑とする
markerfacecolor = 'purple'	マーカーの色は紫色を用いる
markerfacecolor = 'purple'	目印の色は紫を適用する
markerfacecolor = 'purple'	マーカーの形状の色は紫色を使用する
markerfacecolor = 'purple'	マーカーの色を紫色とする
markerfacecolor = 'purple'	マーカーの種類の色を紫とする
markerfacecolor = 'purple'	目印の色を紫とする
markerfacecolor = 'cyan'	マーカーの色はシアンを用いる
markerfacecolor = 'cyan'	マーカーの種類の色は水色を使う
markerfacecolor = 'cyan'	マーカーの形の色はシアンを使用する
markerfacecolor = 'cyan'	マーカーの色をシアンとする
markerfacecolor = 'cyan'	打点の色を水色とする
markerfacecolor = 'cyan'	マーカーの形の色をシアンとする
markerfacecolor = 'magenta'	マーカーの色はマゼンタを用いる
markerfacecolor = 'magenta'	マーカーの形の色は赤紫色を使用する
markerfacecolor = 'magenta'	マーカーの種類の色は赤紫色を使う
markerfacecolor = 'magenta'	マーカーの色をマゼンタとする
markerfacecolor = 'magenta'	目印の色を赤紫とする
markerfacecolor = 'magenta'	マーカーの形の色を赤紫色とする
markeredgewidth = <val2>	マーカーの輪郭線の幅は <val2> を用いる
markeredgewidth = <val5>	マーカーのエッジの大きさは <val5> を用いる
markeredgewidth = <val2>	目印のエッジの大きさは <val2> を適用する
markeredgecolor = 'red'	マーカーの輪郭の色は赤色を用いる
markeredgecolor = 'red'	打点の輪郭の色は赤を使う
markeredgecolor = 'red'	マーカーの形状の輪郭の色は赤色を用いる
markeredgecolor = 'red'	マーカーのエッジの色を赤色とする
markeredgecolor = 'red'	打点の輪郭の色を赤とする
markeredgecolor = 'red'	マーカーの形の輪郭の色を赤色とする
markeredgecolor = 'blue'	マーカーのエッジの色は青色を用いる
markeredgecolor = 'blue'	マーカーの形のエッジの色は青色を使用する
markeredgecolor = 'blue'	打点の輪郭の色は青を適用する
markeredgecolor = 'blue'	マーカーのエッジの色を青色とする
markeredgecolor = 'blue'	マーカーの形状のエッジの色を青色とする
markeredgecolor = 'blue'	目印の輪郭の色を青とする
markeredgecolor = 'yellow'	マーカーのエッジの色は黄色を用いる
markeredgecolor = 'yellow'	目印の輪郭の色は黄色を適用する
markeredgecolor = 'yellow'	打点の輪郭の色は黄色を適用する
markeredgecolor = 'yellow'	マーカーのエッジの色を黄色とする
markeredgecolor = 'yellow'	打点の輪郭の色を黄色とする
markeredgecolor = 'yellow'	マーカーの形状のエッジの色を黄色とする
markeredgecolor = 'gray'	マーカーのエッジの色はグレーを用いる
markeredgecolor = 'gray'	マーカーの形状のエッジの色はグレーを用いる
markeredgecolor = 'gray'	打点の輪郭の色は灰色を使う
markeredgecolor = 'gray'	マーカーのエッジの色をグレーとする
markeredgecolor = 'gray'	目印の輪郭の色を灰色とする
markeredgecolor = 'gray'	打点の輪郭の色を灰色とする
markeredgecolor = 'navy'	マーカーのエッジの色は紺色を用いる
markeredgecolor = 'navy'	打点の輪郭の色は紺色を適用する
markeredgecolor = 'navy'	マーカーの形状のエッジの色は紺色を用いる
markeredgecolor = 'navy'	マーカーのエッジの色を紺色とする
markeredgecolor = 'navy'	目印の輪郭の色を紺色とする
markeredgecolor = 'navy'	マーカーの形のエッジの色を紺色とする
markeredgecolor = 'greenyellow'	マーカーのエッジの色は黄緑色を用いる
markeredgecolor = 'greenyellow'	マーカーの形のエッジの色は黄緑色を使用する
markeredgecolor = 'greenyellow'	打点の輪郭の色は黄緑を使う
markeredgecolor = 'greenyellow'	マーカーのエッジの色を黄緑色とする
markeredgecolor = 'greenyellow'	マーカーの形のエッジの色を黄緑色とする
markeredgecolor = 'greenyellow'	マーカーの種類の輪郭の色を黄緑とする
markeredgecolor = 'purple'	マーカーのエッジの色は紫色を用いる
markeredgecolor = 'purple'	目印の輪郭の色は紫を適用する
markeredgecolor = 'purple'	マーカーの形のエッジの色は紫色を使用する
markeredgecolor = 'purple'	マーカーのエッジの色を紫色とする
markeredgecolor = 'purple'	目印の輪郭の色を紫とする
markeredgecolor = 'purple'	打点の輪郭の色を紫とする
markeredgecolor = 'cyan'	マーカーのエッジの色はシアンを用いる
markeredgecolor = 'cyan'	マーカーの形状のエッジの色はシアンを用いる
markeredgecolor = 'cyan'	目印の輪郭の色は水色を適用する
markeredgecolor = 'cyan'	マーカーのエッジの色をシアンとする
markeredgecolor = 'cyan'	目印の輪郭の色を水色とする
markeredgecolor = 'cyan'	打点の輪郭の色を水色とする
markeredgecolor = 'magenta'	マーカーのエッジの色はマゼンタを用いる
markeredgecolor = 'magenta'	目印の輪郭の色は赤紫を適用する
markeredgecolor = 'magenta'	マーカーの種類の輪郭の色は赤紫色を使う
markeredgecolor = 'magenta'	マーカーのエッジの色をマゼンタとする
markeredgecolor = 'magenta'	マーカーの形状のエッジの色をマゼンタとする
markeredgecolor = 'magenta'	マーカーの形のエッジの色を赤紫色とする
start = <name1>	開始位置は <name1> とする
start = <name6>	始まりは <name6> とする
start = <name1>	開始は <name1> とする
start = <name1>	<name1> から始める
step = <name1>	幅は <name1> にする
step = <name2>	ステップ数は <name2> にする
step = <name5>	間隔は <name5> にする
encoding = <name2>	エンコーディングは <name2> とする
encoding = <name6>	<name6> を用いる
encoding = <name2>	エンコーディング <name2> を用いる
encoding = <name4>	<name4> エンコーディングを用いる
encoding = 'utf-8'	UTF8 を用いる
errors = <name3>	エラー処理は <name3> とする
errors = <name4>	<name4> をエラー処理ポリシーとする
errors = 'strict'	エラー処理が厳密にする
errors = 'strict'	エラー処理を厳密にする
errors = 'strict'	エラー処理は厳密にする
errors = 'ignore'	エラー処理がしない
errors = 'ignore'	エラー処理をしない
errors = 'ignore'	エラー処理はしない
mode = <val3>	モードは <val3> にする
mode = 'b'	バイナリモードを用いる
buffering = -1	バッファリングしない
buffering = <name3>	バッファリングのサイズは <name3> にする
sep = <name5>	セパレータは <name5> にする
sep = <name5>	セパレータとして <name5> を用いる
sep = <name2>	<name2> をセパレータとして用いる
end = ''	改行しない
end = <name1>	改行文字は <name1> にする
end = <name2>	改行の代わりに <name2> を用いる
end = <name6>	<name6> を改行の代わりに用いる
file = <name5>	出力先は <name5> とする
file = <name3>	出力先として <name3> を用いる
file = <name3>	<name3> を出力先として用いる
flush = False	フラッシュは行わない
flush = False	フラッシュが行わない
flush = False	フラッシュを行わない
flush = False	フラッシュしない
flush = True	フラッシュを行う
byteorder = 'big'	バイトオーダーはビックエンディアンとする
byteorder = 'big'	ビックエンディアンを用いる
byteorder = 'little'	バイトオーダーはリトルエンディアンとする
byteorder = 'little'	リトルエンディアンを用いる
fillchar = <name2>	パディングは <name2> にする
fillchar = <name4>	パディングは <name4> 文字にする
fillchar = <name2>	パディングは文字 <name2> にする
fillchar = <name2>	<name2> で埋める
fillchar = <name1>	文字 <name1> で埋める
fillchar = <name5>	<name5> 文字で埋める
tabsize = <name2>	タブは空白 <name2> 文字分とする
pd . set_option ( 'display.max_columns' , <val3> )	<val3> 番目までの列を表示させる
pd . set_option ( 'display.max_columns' , <val2> )	最大表示列数を <val2> 列に設定する
pd . set_option ( 'display.max_columns' , <val1> )	<val1> 列に最大表示列数を設定する
pd . set_option ( 'display.max_columns' , <val6> )	最大表示列数を <val6> 列にする
pd . set_option ( 'display.max_columns' , <val2> )	<val2> 番まで列を表示できるように設定する
pd . set_option ( 'display.max_columns' , <val1> )	<val1> 番まで列を表示できるようにする
pd . set_option ( 'display.max_columns' , <val2> )	<val2> 番まで列が表示できるようにする
encoding = 'shift_jis'	shift - jis を用いる
encoding = 'shift_jis'	シフト JIS を用いる
encoding = 'shift_jis'	文字コードはシフト JIS を用いる
encoding = 'shift_jis'	文字コードはシフト JIS
encoding = 'shift_jis'	文字コードをシフト JIS に設定する
encoding = 'shift_jis'	シフト JIS に文字コードを設定する
encoding = 'shift_jis'	文字コードをシフト JIS に変更する
header = None	ヘッダーを指定しない
header = None	ヘッダーを含まない
header = None	ヘッダーはなし
header = None	ヘッダーがなし
header = None	ヘッダー無し
header = None	0 行目をヘッダーとして認識しない
header = None	0 行目をヘッダーとしない
header = None	先頭行をヘッダーとして認識しない
header = None	列名なし
header = None	列名いらない
header = None	列名不要
color = <val1>	色を <val1> とする
fontsize = <val4>	文字の大きさを <val4> とする
fontsize = <val1>	フォントサイズを <val1> とする
fontsize = <val4>	フォントサイズを <val4> にする
fontsize = <val3>	<val3> に文字の大きさをする
fontsize = <val5>	<val5> にフォントサイズをする
pd . read_excel ( <val5> )	エクセルデータ <val5> を表に読み込む
pd . read_excel ( <val4> )	エクセル <val4> をデータフレームに読み込む
pd . read_excel ( <val1> )	エクセルデータ <val1> を表に読む
<name6> = pd . read_excel ( <val2> )	エクセルデータ <val2> を表データに読み込んで、 <name6> とする
<name4> = pd . read_excel ( <val1> )	エクセルデータ <val1> を表データに読み込まれた結果を <name4> にする
<name1> = pd . read_excel ( <val5> )	エクセル <val5> を表データとして読み、 <name1> に代入する
<name6> = pd . read_excel ( <val4> )	エクセル <val4> を表データとして読んだ結果を <name6> とする
<name3> = pd . read_excel ( <val5> )	エクセルデータ <val5> をデータフレームに読んで、 <name3> とする
<name5> = pd . read_excel ( <val3> )	エクセルデータ <val3> をデータフレームに読まれた結果を <name5> に代入する
pd . read_excel ( <val3> )	エクセルファイル <val3> から表を読み込む
pd . read_excel ( <val1> )	エクセルファイル <val1> から読み込む
pd . read_excel ( <val2> )	エクセルファイル <val2> からデータフレームを読む
<name5> = pd . read_excel ( <val1> )	エクセルファイル <val1> から表データを読み込み、 <name5> に代入する
<name2> = pd . read_excel ( <val6> )	エクセルファイル <val6> から表データを読み込んだ結果を <name2> にする
<name3> = pd . read_excel ( <val2> )	エクセルファイル <val2> から読み、 <name3> に代入する
<name1> = pd . read_excel ( <val6> )	エクセルファイル <val6> から読まれた結果を <name1> とする
<name6> = pd . read_excel ( <val1> )	エクセルファイル <val1> からデータフレームを読み込んで、 <name6> に代入する
<name3> = pd . read_excel ( <val5> )	エクセルファイル <val5> からデータフレームを読み込んだ結果を <name3> にする
pd . read_excel ( <val1> )	エクセルファイル <val1> を読み込む
pd . read_excel ( <val3> )	エクセルファイル <val3> を読む
<name3> = pd . read_excel ( <val1> )	エクセルファイル <val1> を読み込んで、 <name3> にする
<name4> = pd . read_excel ( <val6> )	エクセルファイル <val6> を読み込んだ結果を <name4> に代入する
<name3> = pd . read_excel ( <val4> )	エクセルファイル <val4> を読み、 <name3> とする
<name4> = pd . read_excel ( <val6> )	エクセルファイル <val6> を読んだ結果を <name4> にする
pd . read_excel ( <val3> )	エクセルファイル <val3> をデータフレームにする
pd . read_excel ( <val2> )	エクセルファイル <val2> を読み込んで表データにする
pd . read_excel ( <val3> )	エクセルファイル <val3> をデータフレームとする
<name3> = pd . read_excel ( <val4> )	エクセルファイル <val4> をデータフレームにし、 <name3> にする
<name1> = pd . read_excel ( <val2> )	エクセルファイル <val2> をデータフレームにした結果を <name1> とする
<name4> = pd . read_excel ( <val1> )	エクセルファイル <val1> をデータフレームとして、 <name4> に代入する
<name6> = pd . read_excel ( <val2> )	エクセルファイル <val2> をデータフレームとされた結果を <name6> に代入する
<name1> = pd . read_excel ( <val2> )	エクセルファイル <val2> を読み込んで表にして、 <name1> に代入する
<name5> = pd . read_excel ( <val4> )	エクセルファイル <val4> を読み込んで表にした結果を <name5> とする
pd . read_excel ( <val3> )	エクセルファイル <val3> をデータフレームに格納する
pd . read_excel ( <val1> )	エクセルファイル <val1> を表に格納する
pd . read_excel ( <val2> )	データフレームにエクセルファイル <val2> を格納する
<name2> = pd . read_excel ( <val5> )	エクセルファイル <val5> を読み込んでデータフレームに格納し、 <name2> に代入する
<name4> = pd . read_excel ( <val5> )	エクセルファイル <val5> を読み込んでデータフレームに格納された結果を <name4> とする
<name1> = pd . read_excel ( <val4> )	エクセルファイル <val4> を読み込んで表データに格納し、 <name1> に代入する
<name2> = pd . read_excel ( <val4> )	エクセルファイル <val4> を読み込んで表データに格納された結果を <name2> に代入する
<name2> = pd . read_excel ( <val3> )	表データにエクセルファイル <val3> を格納し、 <name2> にする
<name5> = pd . read_excel ( <val6> )	表データにエクセルファイル <val6> を格納した結果を <name5> にする
pd . read_excel ( <val5> )	<val5> という名前のエクセルファイルをデータフレームとして読み込む
pd . read_excel ( <val4> )	<val4> という名前のエクセルファイルを表として読み込む
pd . read_excel ( <val4> )	<val4> という名前のエクセルファイルを表として読む
<name2> = pd . read_excel ( <val6> )	<val6> という名前のエクセルファイルをデータフレームとして読み込んで、 <name2> とする
<name1> = pd . read_excel ( <val5> )	<val5> という名前のエクセルファイルをデータフレームとして読み込んだ結果を <name1> とする
<name6> = pd . read_excel ( <val1> )	<val1> という名前のエクセルファイルをデータフレームとして読んで、 <name6> にする
<name5> = pd . read_excel ( <val1> )	<val1> という名前のエクセルファイルをデータフレームとして読んだ結果を <name5> に代入する
<name3> = pd . read_excel ( <val4> )	<val4> というエクセルファイルを読み込んで、 <name3> とする
<name2> = pd . read_excel ( <val6> )	<val6> というエクセルファイルを読み込んだ結果を <name2> に代入する
pd . read_excel ( <val6> , sheet_name = <val1> )	エクセルファイル <val6> の <val1> 番目のシートをデータフレームに読み込む
pd . read_excel ( <val4> , sheet_name = <val5> )	エクセルファイル <val4> の <val5> 番目のシートを表データとして読む
pd . read_excel ( <val4> , sheet_name = <val1> )	エクセルファイル <val4> の <val1> 番目のシートを表に読む
<name4> = pd . read_excel ( <val6> , sheet_name = <val2> )	エクセルファイル <val6> の <val2> 番目のシートをデータフレームに読み込み、 <name4> に代入する
<name2> = pd . read_excel ( <val5> , sheet_name = <val4> )	エクセルファイル <val5> の <val4> 番目のシートをデータフレームに読み込んだ結果を <name2> にする
<name4> = pd . read_excel ( <val6> , sheet_name = <val3> )	エクセルファイル <val6> の <val3> 番目のシートを表に読み、 <name4> とする
<name2> = pd . read_excel ( <val5> , sheet_name = <val3> )	エクセルファイル <val5> の <val3> 番目のシートを表に読んだ結果を <name2> に代入する
<name6> = pd . read_excel ( <val3> , sheet_name = <val4> )	エクセルファイル <val3> の <val4> 番目のシートをデータフレームとして読み込んで、 <name6> にする
<name6> = pd . read_excel ( <val3> , sheet_name = <val1> )	エクセルファイル <val3> の <val1> 番目のシートをデータフレームとして読み込んだ結果を <name6> にする
pd . read_excel ( <val3> , sheet_name = <val5> )	エクセルファイル <val3> の <val5> 番目のシートからデータフレームを読み込む
pd . read_excel ( <val1> , sheet_name = <val2> )	エクセルファイル <val1> の <val2> 番目のシートから読み込む
pd . read_excel ( <val6> , sheet_name = <val1> )	エクセルファイル <val6> の <val1> 番目のシートから表データを読む
<name5> = pd . read_excel ( <val2> , sheet_name = <val4> )	エクセルファイル <val2> の <val4> 番目のシートから表データを読み込んで、 <name5> に代入する
<name4> = pd . read_excel ( <val6> , sheet_name = <val3> )	エクセルファイル <val6> の <val3> 番目のシートから表データを読み込んだ結果を <name4> にする
<name4> = pd . read_excel ( <val5> , sheet_name = <val2> )	エクセルファイル <val5> の <val2> 番目のシートからデータフレームを読み込んで、 <name4> とする
<name4> = pd . read_excel ( <val1> , sheet_name = <val6> )	エクセルファイル <val1> の <val6> 番目のシートからデータフレームを読み込まれた結果を <name4> に代入する
<name6> = pd . read_excel ( <val2> , sheet_name = <val3> )	エクセルファイル <val2> の <val3> 番目のシートから表データを読み、 <name6> とする
<name5> = pd . read_excel ( <val1> , sheet_name = <val6> )	エクセルファイル <val1> の <val6> 番目のシートから表データを読んだ結果を <name5> に代入する
pd . read_excel ( <val4> , sheet_name = <val2> )	エクセルファイル <val4> の <val2> 番目のシートを指定して読み込む
pd . read_excel ( <val2> , sheet_name = <val6> )	エクセルファイル <val2> の <val6> 番目のシートを読み込む
pd . read_excel ( <val2> , sheet_name = <val5> )	エクセルファイル <val2> の <val5> 番目のシートを読む
<name5> = pd . read_excel ( <val1> , sheet_name = <val6> )	エクセルファイル <val1> の <val6> 番目のシートを読み込み、 <name5> とする
<name6> = pd . read_excel ( <val2> , sheet_name = <val1> )	エクセルファイル <val2> の <val1> 番目のシートを読み込んだ結果を <name6> とする
<name2> = pd . read_excel ( <val5> , sheet_name = <val6> )	エクセルファイル <val5> の <val6> 番目のシートを読んで、 <name2> に代入する
<name3> = pd . read_excel ( <val2> , sheet_name = <val6> )	エクセルファイル <val2> の <val6> 番目のシートを読んだ結果を <name3> とする
<name2> = pd . read_excel ( <val3> , sheet_name = <val5> )	エクセルファイル <val3> の <val5> 番目のシートを指定して読み込んで、 <name2> とする
<name5> = pd . read_excel ( <val4> , sheet_name = <val6> )	エクセルファイル <val4> の <val6> 番目のシートを指定して読み込んだ結果を <name5> とする
pd . read_excel ( <val5> , sheet_name = <val2> )	エクセルファイル <val5> の <val2> 番目のシートを読み込んでデータフレームにする
pd . read_excel ( <val2> , sheet_name = <val3> )	エクセルファイル <val2> の <val3> 番目のシートを表データにする
pd . read_excel ( <val2> , sheet_name = <val1> )	エクセルファイル <val2> の <val1> 番目のシートを表とする
<name6> = pd . read_excel ( <val2> , sheet_name = <val3> )	エクセルファイル <val2> の <val3> 番目のシートをデータフレームにして、 <name6> とする
<name3> = pd . read_excel ( <val6> , sheet_name = <val1> )	エクセルファイル <val6> の <val1> 番目のシートをデータフレームにした結果を <name3> とする
<name5> = pd . read_excel ( <val2> , sheet_name = <val4> )	エクセルファイル <val2> の <val4> 番目のシートを表データにし、 <name5> に代入する
<name1> = pd . read_excel ( <val4> , sheet_name = <val2> )	エクセルファイル <val4> の <val2> 番目のシートを表データにされた結果を <name1> に代入する
<name5> = pd . read_excel ( <val2> , sheet_name = <val1> )	エクセルファイル <val2> の <val1> 番目のシートを表データとして、 <name5> とする
<name6> = pd . read_excel ( <val2> , sheet_name = <val5> )	エクセルファイル <val2> の <val5> 番目のシートを表データとした結果を <name6> とする
pd . read_excel ( <val2> , sheet_name = <val5> )	エクセルファイル <val2> の <val5> 番目のシートをデータフレームに格納する
pd . read_excel ( <val1> , sheet_name = <val6> )	表にエクセルファイル <val1> の <val6> 番目のシートを格納する
pd . read_excel ( <val5> , sheet_name = <val6> )	エクセルファイル <val5> の <val6> 番目のシートを表データに格納する
<name6> = pd . read_excel ( <val1> , sheet_name = <val5> )	エクセルファイル <val1> の <val5> 番目のシートをデータフレームに格納し、 <name6> とする
<name2> = pd . read_excel ( <val4> , sheet_name = <val3> )	エクセルファイル <val4> の <val3> 番目のシートをデータフレームに格納された結果を <name2> に代入する
<name5> = pd . read_excel ( <val2> , sheet_name = <val1> )	表にエクセルファイル <val2> の <val1> 番目のシートを格納し、 <name5> にする
<name2> = pd . read_excel ( <val4> , sheet_name = <val3> )	表にエクセルファイル <val4> の <val3> 番目のシートを格納した結果を <name2> に代入する
<name6> = pd . read_excel ( <val4> , sheet_name = <val3> )	読み込んで表データにエクセルファイル <val4> の <val3> 番目のシートを格納して、 <name6> に代入する
<name5> = pd . read_excel ( <val2> , sheet_name = <val3> )	読み込んで表データにエクセルファイル <val2> の <val3> 番目のシートを格納された結果を <name5> とする
pd . read_excel ( <val3> , sheet_name = <val4> )	<val3> という名前のエクセルファイルの <val4> 番目のシートを表として読み込む
pd . read_excel ( <val4> , sheet_name = <val1> )	<val4> という名前のエクセルファイルの <val1> 番目のシートをデータフレームとして読む
pd . read_excel ( <val5> , sheet_name = <val4> )	<val5> という名前のエクセルファイルの <val4> 番目のシートをデータフレームとして読み込む
<name1> = pd . read_excel ( <val2> , sheet_name = <val5> )	<val2> という名前のエクセルファイルの <val5> 番目のシートを表データとして読み込み、 <name1> に代入する
<name5> = pd . read_excel ( <val4> , sheet_name = <val1> )	<val4> という名前のエクセルファイルの <val1> 番目のシートを表データとして読み込んだ結果を <name5> とする
<name6> = pd . read_excel ( <val2> , sheet_name = <val4> )	<val2> というエクセルファイルの <val4> 番目のシートを読んで、 <name6> に代入する
<name6> = pd . read_excel ( <val5> , sheet_name = <val2> )	<val5> というエクセルファイルの <val2> 番目のシートを読んだ結果を <name6> にする
<name2> = pd . read_excel ( <val1> , sheet_name = <val3> )	<val1> という名前のエクセルファイルの <val3> 番目のシートをデータフレームとして読み込んで、 <name2> に代入する
<name6> = pd . read_excel ( <val3> , sheet_name = <val4> )	<val3> という名前のエクセルファイルの <val4> 番目のシートをデータフレームとして読み込まれた結果を <name6> に代入する
pd . read_excel ( <val4> , sheet_name = None )	エクセルファイル <val4> の全てのシートをデータフレームに読み込む
pd . read_excel ( <val2> , sheet_name = None )	エクセルファイル <val2> の全部のシートを表に読む
pd . read_excel ( <val1> , sheet_name = None )	エクセルファイル <val1> の全部のシートを表に読み込む
<name1> = pd . read_excel ( <val3> , sheet_name = None )	エクセルファイル <val3> の全てのシートをデータフレームに読み込み、 <name1> とする
<name6> = pd . read_excel ( <val1> , sheet_name = None )	エクセルファイル <val1> の全てのシートをデータフレームに読み込んだ結果を <name6> に代入する
<name5> = pd . read_excel ( <val4> , sheet_name = None )	エクセルファイル <val4> の全部のシートを表に読んで、 <name5> にする
<name4> = pd . read_excel ( <val1> , sheet_name = None )	エクセルファイル <val1> の全部のシートを表に読んだ結果を <name4> に代入する
<name3> = pd . read_excel ( <val5> , sheet_name = None )	エクセルファイル <val5> のシート全てを表として読み、 <name3> に代入する
<name4> = pd . read_excel ( <val6> , sheet_name = None )	エクセルファイル <val6> のシート全てを表として読まれた結果を <name4> に代入する
pd . read_excel ( <val5> , sheet_name = None )	エクセルファイル <val5> の全てのシートから表データを読み込む
pd . read_excel ( <val6> , sheet_name = None )	エクセルファイル <val6> の全てのシートから表を読む
pd . read_excel ( <val4> , sheet_name = None )	エクセルファイル <val4> の全てのシートから読む
<name3> = pd . read_excel ( <val5> , sheet_name = None )	エクセルファイル <val5> の全てのシートから表を読み込み、 <name3> にする
<name2> = pd . read_excel ( <val1> , sheet_name = None )	エクセルファイル <val1> の全てのシートから表を読み込んだ結果を <name2> にする
<name3> = pd . read_excel ( <val6> , sheet_name = None )	エクセルファイル <val6> の全てのシートから読み込んで、 <name3> とする
<name2> = pd . read_excel ( <val5> , sheet_name = None )	エクセルファイル <val5> の全てのシートから読み込んだ結果を <name2> とする
<name4> = pd . read_excel ( <val3> , sheet_name = None )	エクセルファイル <val3> の全てのシートから表データを読んで、 <name4> とする
<name6> = pd . read_excel ( <val5> , sheet_name = None )	エクセルファイル <val5> の全てのシートから表データを読まれた結果を <name6> に代入する
pd . read_excel ( <val5> , sheet_name = None )	エクセルファイル <val5> の全てのシートを読み込む
pd . read_excel ( <val6> , sheet_name = None )	エクセルファイル <val6> の全てのシートを読む
pd . read_excel ( <val1> , sheet_name = None )	エクセルファイル <val1> の全てのシートを指定して読む
<name1> = pd . read_excel ( <val4> , sheet_name = None )	エクセルファイル <val4> の全てのシートを読み込み、 <name1> にする
<name3> = pd . read_excel ( <val2> , sheet_name = None )	エクセルファイル <val2> の全てのシートを読み込まれた結果を <name3> にする
<name6> = pd . read_excel ( <val3> , sheet_name = None )	エクセルファイル <val3> の全てのシートを読んで、 <name6> とする
<name3> = pd . read_excel ( <val1> , sheet_name = None )	エクセルファイル <val1> の全てのシートを読んだ結果を <name3> にする
<name1> = pd . read_excel ( <val3> , sheet_name = None )	エクセルファイル <val3> の全てのシートを指定して読み込み、 <name1> に代入する
<name6> = pd . read_excel ( <val5> , sheet_name = None )	エクセルファイル <val5> の全てのシートを指定して読み込んだ結果を <name6> に代入する
pd . read_excel ( <val1> , sheet_name = None )	エクセルファイル <val1> の全てのシートをデータフレームにする
pd . read_excel ( <val1> , sheet_name = None )	エクセルファイル <val1> の全てのシートをデータフレームとする
pd . read_excel ( <val2> , sheet_name = None )	エクセルファイル <val2> の全てのシートを表とする
<name4> = pd . read_excel ( <val1> , sheet_name = None )	エクセルファイル <val1> の全てのシートをデータフレームにし、 <name4> にする
<name2> = pd . read_excel ( <val1> , sheet_name = None )	エクセルファイル <val1> の全てのシートをデータフレームにした結果を <name2> とする
<name5> = pd . read_excel ( <val4> , sheet_name = None )	エクセルファイル <val4> の全てのシートを表データとして、 <name5> に代入する
<name2> = pd . read_excel ( <val4> , sheet_name = None )	エクセルファイル <val4> の全てのシートを表データとした結果を <name2> に代入する
<name6> = pd . read_excel ( <val5> , sheet_name = None )	エクセルファイル <val5> の全てのシートを読み込んで表データにし、 <name6> とする
<name5> = pd . read_excel ( <val6> , sheet_name = None )	エクセルファイル <val6> の全てのシートを読み込んで表データにされた結果を <name5> にする
pd . read_excel ( <val5> , sheet_name = None )	エクセルファイル <val5> の全てのシートを読み込んでデータフレームに格納する
pd . read_excel ( <val5> , sheet_name = None )	表データにエクセルファイル <val5> の全てのシートを格納する
pd . read_excel ( <val5> , sheet_name = None )	読み込んで表にエクセルファイル <val5> の全てのシートを格納する
<name4> = pd . read_excel ( <val6> , sheet_name = None )	エクセルファイル <val6> の全てのシートをデータフレームに格納して、 <name4> とする
