print ( <val2> )	<val2> とプリントする
<name5> = pd . read_excel ( <val3> , sheet_name = <val1> )	エクセルファイル <val3> の <val1> 番目のシートを読み込んで表データにされた結果を <name5> に代入する
<name6> = pd . read_excel ( <val4> , sheet_name = <val5> )	エクセルファイル <val4> の <val5> 番目のシートを表データにし、 <name6> に代入する
<name2> = pd . read_excel ( <val4> , sheet_name = <val3> )	エクセルファイル <val4> の <val3> 番目のシートを表データにした結果を <name2> に代入する
pd . read_excel ( <val2> , sheet_name = <val1> )	エクセルファイル <val2> の <val1> 番目のシートをデータフレームに格納する
pd . read_excel ( <val2> , sheet_name = <val3> )	読み込んで表データにエクセルファイル <val2> の <val3> 番目のシートを格納する
pd . read_excel ( <val6> , sheet_name = <val4> )	データフレームにエクセルファイル <val6> の <val4> 番目のシートを格納する
<name6> = pd . read_excel ( <val2> , sheet_name = <val1> )	エクセルファイル <val2> の <val1> 番目のシートをデータフレームに格納して、 <name6> とする
<name3> = pd . read_excel ( <val2> , sheet_name = <val5> )	エクセルファイル <val2> の <val5> 番目のシートをデータフレームに格納された結果を <name3> とする
<name4> = pd . read_excel ( <val2> , sheet_name = <val5> )	エクセルファイル <val2> の <val5> 番目のシートを読み込んで表データに格納し、 <name4> にする
<name5> = pd . read_excel ( <val4> , sheet_name = <val1> )	エクセルファイル <val4> の <val1> 番目のシートを読み込んで表データに格納された結果を <name5> とする
<name6> = pd . read_excel ( <val1> , sheet_name = <val2> )	エクセルファイル <val1> の <val2> 番目のシートを読み込んでデータフレームに格納し、 <name6> にする
<name6> = pd . read_excel ( <val2> , sheet_name = <val1> )	エクセルファイル <val2> の <val1> 番目のシートを読み込んでデータフレームに格納した結果を <name6> にする
pd . read_excel ( <val3> , sheet_name = <val4> )	<val3> という名前のエクセルファイルの <val4> 番目のシートを表として読み込む
pd . read_excel ( <val3> , sheet_name = <val6> )	<val3> というエクセルファイルの <val6> 番目のシートを読む
pd . read_excel ( <val4> , sheet_name = <val5> )	<val4> という名前のエクセルファイルの <val5> 番目のシートを表データとして読み込む
<name4> = pd . read_excel ( <val5> , sheet_name = <val6> )	<val5> という名前のエクセルファイルの <val6> 番目のシートをデータフレームとして読み込んで、 <name4> に代入する
<name3> = pd . read_excel ( <val5> , sheet_name = <val2> )	<val5> という名前のエクセルファイルの <val2> 番目のシートをデータフレームとして読み込んだ結果を <name3> にする
<name5> = pd . read_excel ( <val4> , sheet_name = <val6> )	<val4> という名前のエクセルファイルの <val6> 番目のシートを表データとして読んで、 <name5> に代入する
<name6> = pd . read_excel ( <val3> , sheet_name = <val2> )	<val3> という名前のエクセルファイルの <val2> 番目のシートを表データとして読んだ結果を <name6> とする
<name5> = pd . read_excel ( <val2> , sheet_name = <val6> )	<val2> という名前のエクセルファイルの <val6> 番目のシートを表として読んで、 <name5> にする
<name1> = pd . read_excel ( <val2> , sheet_name = <val4> )	<val2> という名前のエクセルファイルの <val4> 番目のシートを表として読んだ結果を <name1> にする
pd . read_excel ( <val4> , sheet_name = None )	エクセルファイル <val4> の全てのシートをデータフレームに読み込む
pd . read_excel ( <val3> , sheet_name = None )	エクセルファイル <val3> の全てのシートを表に読み込む
pd . read_excel ( <val5> , sheet_name = None )	エクセルファイル <val5> のシート全てを表として読む
<name4> = pd . read_excel ( <val3> , sheet_name = None )	エクセルファイル <val3> の全てのシートをデータフレームに読み込み、 <name4> とする
<name1> = pd . read_excel ( <val5> , sheet_name = None )	エクセルファイル <val5> の全てのシートをデータフレームに読み込まれた結果を <name1> にする
<name1> = pd . read_excel ( <val4> , sheet_name = None )	エクセルファイル <val4> のシート全てを表データとして読み、 <name1> にする
<name1> = pd . read_excel ( <val5> , sheet_name = None )	エクセルファイル <val5> のシート全てを表データとして読んだ結果を <name1> に代入する
<name5> = pd . read_excel ( <val6> , sheet_name = None )	エクセルファイル <val6> のシート全てを表として読んで、 <name5> にする
<name2> = pd . read_excel ( <val4> , sheet_name = None )	エクセルファイル <val4> のシート全てを表として読んだ結果を <name2> に代入する
pd . read_excel ( <val5> , sheet_name = None )	エクセルファイル <val5> の全てのシートから表を読み込む
pd . read_excel ( <val2> , sheet_name = None )	エクセルファイル <val2> の全てのシートから表を読む
pd . read_excel ( <val1> , sheet_name = None )	エクセルファイル <val1> の全てのシートから表データを読む
<name6> = pd . read_excel ( <val1> , sheet_name = None )	エクセルファイル <val1> の全てのシートから表データを読み込んで、 <name6> に代入する
<name4> = pd . read_excel ( <val3> , sheet_name = None )	エクセルファイル <val3> の全てのシートから表データを読み込まれた結果を <name4> に代入する
<name6> = pd . read_excel ( <val1> , sheet_name = None )	エクセルファイル <val1> の全てのシートから読み込んで、 <name6> とする
<name1> = pd . read_excel ( <val2> , sheet_name = None )	エクセルファイル <val2> の全てのシートから読み込んだ結果を <name1> にする
<name1> = pd . read_excel ( <val5> , sheet_name = None )	エクセルファイル <val5> の全てのシートから表データを読み、 <name1> に代入する
<name3> = pd . read_excel ( <val6> , sheet_name = None )	エクセルファイル <val6> の全てのシートから表データを読んだ結果を <name3> に代入する
pd . read_excel ( <val3> , sheet_name = None )	エクセルファイル <val3> の全てのシートを指定して読み込む
pd . read_excel ( <val4> , sheet_name = None )	エクセルファイル <val4> の全てのシートを読む
pd . read_excel ( <val5> , sheet_name = None )	エクセルファイル <val5> の全てのシートを読み込む
<name4> = pd . read_excel ( <val2> , sheet_name = None )	エクセルファイル <val2> の全てのシートを指定して読み込んで、 <name4> に代入する
<name1> = pd . read_excel ( <val4> , sheet_name = None )	エクセルファイル <val4> の全てのシートを指定して読み込んだ結果を <name1> にする
<name5> = pd . read_excel ( <val6> , sheet_name = None )	エクセルファイル <val6> の全てのシートを読み込み、 <name5> にする
<name2> = pd . read_excel ( <val6> , sheet_name = None )	エクセルファイル <val6> の全てのシートを読み込んだ結果を <name2> とする
<name3> = pd . read_excel ( <val1> , sheet_name = None )	エクセルファイル <val1> の全てのシートを読み、 <name3> とする
<name1> = pd . read_excel ( <val3> , sheet_name = None )	エクセルファイル <val3> の全てのシートを読んだ結果を <name1> にする
pd . read_excel ( <val5> , sheet_name = None )	エクセルファイル <val5> の全てのシートをデータフレームにする
pd . read_excel ( <val1> , sheet_name = None )	エクセルファイル <val1> の全てのシートを表データとする
pd . read_excel ( <val1> , sheet_name = None )	エクセルファイル <val1> の全てのシートを表にする
<name2> = pd . read_excel ( <val1> , sheet_name = None )	エクセルファイル <val1> の全てのシートをデータフレームにして、 <name2> にする
<name4> = pd . read_excel ( <val1> , sheet_name = None )	エクセルファイル <val1> の全てのシートをデータフレームにした結果を <name4> とする
<name2> = pd . read_excel ( <val5> , sheet_name = None )	エクセルファイル <val5> の全てのシートを読み込んでデータフレームにして、 <name2> にする
<name6> = pd . read_excel ( <val4> , sheet_name = None )	エクセルファイル <val4> の全てのシートを読み込んでデータフレームにされた結果を <name6> とする
<name5> = pd . read_excel ( <val4> , sheet_name = None )	エクセルファイル <val4> の全てのシートをデータフレームとし、 <name5> に代入する
<name4> = pd . read_excel ( <val3> , sheet_name = None )	エクセルファイル <val3> の全てのシートをデータフレームとした結果を <name4> に代入する
pd . read_excel ( <val2> , sheet_name = None )	エクセルファイル <val2> の全てのシートを読み込んでデータフレームに格納する
pd . read_excel ( <val3> , sheet_name = None )	データフレームにエクセルファイル <val3> の全てのシートを格納する
pd . read_excel ( <val4> , sheet_name = None )	エクセルファイル <val4> の全てのシートをデータフレームに格納する
<name6> = pd . read_excel ( <val3> , sheet_name = None )	エクセルファイル <val3> の全てのシートを読み込んでデータフレームに格納して、 <name6> に代入する
<name2> = pd . read_excel ( <val1> , sheet_name = None )	エクセルファイル <val1> の全てのシートを読み込んでデータフレームに格納した結果を <name2> に代入する
<name6> = pd . read_excel ( <val1> , sheet_name = None )	エクセルファイル <val1> の全てのシートを読み込んで表に格納し、 <name6> に代入する
<name5> = pd . read_excel ( <val1> , sheet_name = None )	エクセルファイル <val1> の全てのシートを読み込んで表に格納した結果を <name5> にする
<name5> = pd . read_excel ( <val3> , sheet_name = None )	エクセルファイル <val3> の全てのシートをデータフレームに格納して、 <name5> に代入する
<name5> = pd . read_excel ( <val4> , sheet_name = None )	エクセルファイル <val4> の全てのシートをデータフレームに格納した結果を <name5> とする
pd . read_excel ( <val1> , sheet_name = None )	<val1> という名前のエクセルファイルの全てのシートを表として読み込む
pd . read_excel ( <val1> , sheet_name = None )	<val1> というエクセルファイルの全てのシートを読み込む
pd . read_excel ( <val5> , sheet_name = None )	<val5> という名前のエクセルファイルの全てのシートを表データとして読む
<name2> = pd . read_excel ( <val4> , sheet_name = None )	<val4> という名前のエクセルファイルの全てのシートをデータフレームとして読み込んで、 <name2> にする
<name4> = pd . read_excel ( <val2> , sheet_name = None )	<val2> という名前のエクセルファイルの全てのシートをデータフレームとして読み込んだ結果を <name4> にする
<name4> = pd . read_excel ( <val3> , sheet_name = None )	<val3> というエクセルファイルの全てのシートを読み、 <name4> にする
<name1> = pd . read_excel ( <val2> , sheet_name = None )	<val2> というエクセルファイルの全てのシートを読んだ結果を <name1> とする
<name3> = pd . read_excel ( <val6> , sheet_name = None )	<val6> という名前のエクセルファイルの全てのシートを表として読み込み、 <name3> にする
<name6> = pd . read_excel ( <val4> , sheet_name = None )	<val4> という名前のエクセルファイルの全てのシートを表として読み込まれた結果を <name6> に代入する
pd . read_csv ( <val3> )	<val3> を表として読み込む
pd . read_csv ( <val1> )	<val1> をデータフレームとして読む
pd . read_csv ( <val4> )	<val4> を表データとして読む
<name6> = pd . read_csv ( <val2> )	<val2> をデータフレームとして読み込んで、 <name6> にする
<name2> = pd . read_csv ( <val3> )	<val3> をデータフレームとして読み込んだ結果を <name2> にする
<name5> = pd . read_csv ( <val4> )	<val4> から読んで、 <name5> にする
<name2> = pd . read_csv ( <val5> )	<val5> から読んだ結果を <name2> に代入する
<name3> = pd . read_csv ( <val5> )	<val5> を表データとして読んで、 <name3> にする
<name1> = pd . read_csv ( <val2> )	<val2> を表データとして読んだ結果を <name1> に代入する
pd . read_csv ( <val5> )	データフレームを <val5> から読み込む
pd . read_csv ( <val6> )	表を <val6> から読み込む
pd . read_csv ( <val2> )	表データを <val2> から読む
<name2> = pd . read_csv ( <val1> )	データフレームを <val1> から読み込み、 <name2> にする
<name4> = pd . read_csv ( <val6> )	データフレームを <val6> から読み込まれた結果を <name4> にする
<name3> = pd . read_csv ( <val4> )	表を <val4> から読み込んで、 <name3> とする
<name6> = pd . read_csv ( <val1> )	表を <val1> から読み込んだ結果を <name6> に代入する
<name6> = pd . read_csv ( <val2> )	表データを <val2> から読んで、 <name6> にする
<name4> = pd . read_csv ( <val6> )	表データを <val6> から読んだ結果を <name4> とする
pd . read_csv ( <val4> )	CSV ファイル <val4> を表として読み込む
pd . read_csv ( <val3> )	CSV データ <val3> から読み込む
pd . read_csv ( <val6> )	CSV <val6> を表として読む
<name1> = pd . read_csv ( <val5> )	CSV ファイル <val5> を表データとして読み込み、 <name1> とする
<name6> = pd . read_csv ( <val2> )	CSV ファイル <val2> を表データとして読み込んだ結果を <name6> にする
<name5> = pd . read_csv ( <val6> )	CSV データ <val6> を表として読み、 <name5> とする
<name3> = pd . read_csv ( <val1> )	CSV データ <val1> を表として読んだ結果を <name3> にする
<name5> = pd . read_csv ( <val3> )	CSV データ <val3> をデータフレームとして読んで、 <name5> にする
<name2> = pd . read_csv ( <val5> )	CSV データ <val5> をデータフレームとして読まれた結果を <name2> に代入する
pd . read_csv ( <val2> )	CSV ファイル <val2> からデータフレームを読み込む
pd . read_csv ( <val4> )	CSV データ <val4> から表を読む
pd . read_csv ( <val2> )	CSV <val2> から表データを読む
<name4> = pd . read_csv ( <val2> )	CSV ファイル <val2> からデータフレームを読み込んで、 <name4> に代入する
<name1> = pd . read_csv ( <val5> )	CSV ファイル <val5> からデータフレームを読み込んだ結果を <name1> にする
<name5> = pd . read_csv ( <val2> )	CSV <val2> から表データを読み、 <name5> にする
<name2> = pd . read_csv ( <val5> )	CSV <val5> から表データを読んだ結果を <name2> に代入する
<name2> = pd . read_csv ( <val5> )	CSV データ <val5> から表を読んで、 <name2> に代入する
<name3> = pd . read_csv ( <val4> )	CSV データ <val4> から表を読んだ結果を <name3> にする
pd . read_csv ( <val6> )	<val6> をデータフレームに格納する
pd . read_csv ( <val6> )	<val6> を表データに格納する
pd . read_csv ( <val5> )	<val5> を表に格納する
<name6> = pd . read_csv ( <val5> )	<val5> をデータフレームに格納し、 <name6> に代入する
<name2> = pd . read_csv ( <val1> )	<val1> をデータフレームに格納された結果を <name2> に代入する
<name1> = pd . read_csv ( <val3> )	<val3> を表に格納して、 <name1> に代入する
<name1> = pd . read_csv ( <val3> )	<val3> を表に格納した結果を <name1> にする
<name5> = pd . read_csv ( <val2> )	表に <val2> を格納して、 <name5> に代入する
<name2> = pd . read_csv ( <val5> )	表に <val5> を格納された結果を <name2> に代入する
pd . read_csv ( <val1> )	CSV ファイル <val1> をデータフレームに格納する
pd . read_csv ( <val3> )	CSV <val3> を表データに格納する
pd . read_csv ( <val2> )	データフレームに CSV ファイル <val2> を格納する
<name6> = pd . read_csv ( <val3> )	CSV ファイル <val3> をデータフレームに格納して、 <name6> に代入する
<name3> = pd . read_csv ( <val4> )	CSV ファイル <val4> をデータフレームに格納した結果を <name3> にする
<name3> = pd . read_csv ( <val6> )	表に CSV データ <val6> を格納して、 <name3> に代入する
<name3> = pd . read_csv ( <val6> )	表に CSV データ <val6> を格納した結果を <name3> とする
<name2> = pd . read_csv ( <val3> )	CSV データ <val3> を表に格納し、 <name2> に代入する
<name4> = pd . read_csv ( <val2> )	CSV データ <val2> を表に格納された結果を <name4> とする
pd . read_csv ( <val3> , sep = <val4> )	<val3> を <val4> 区切りで読み込む
pd . read_csv ( <val3> , sep = <val4> )	<val4> 区切りで <val3> を読む
pd . read_csv ( <val6> , sep = <val1> )	<val1> 区切りで <val6> を読み込む
<name6> = pd . read_csv ( <val2> , sep = ',' )	<val2> をカンマ区切りで読み込み、 <name6> とする
<name6> = pd . read_csv ( <val4> , sep = ',' )	<val4> をカンマ区切りで読み込んだ結果を <name6> にする
<name6> = pd . read_csv ( <val5> , sep = <val2> )	<val2> 区切りで <val5> を読み込んで、 <name6> とする
<name2> = pd . read_csv ( <val4> , sep = <val1> )	<val1> 区切りで <val4> を読み込まれた結果を <name2> とする
<name2> = pd . read_csv ( <val6> , sep = <val5> )	<val5> 区切りで <val6> を読んで、 <name2> に代入する
<name5> = pd . read_csv ( <val4> , sep = <val2> )	<val2> 区切りで <val4> を読んだ結果を <name5> にする
pd . read_csv ( <val3> , sep = ',' )	カンマ区切りで <val3> を読み込む
pd . read_csv ( <val4> , sep = <val2> )	<val2> 区切りで <val4> を読む
<name1> = pd . read_csv ( <val3> , sep = ',' )	カンマ区切りで <val3> を読み込み、 <name1> に代入する
<name5> = pd . read_csv ( <val3> , sep = ',' )	カンマ区切りで <val3> を読み込んだ結果を <name5> に代入する
<name4> = pd . read_csv ( <val5> , sep = <val3> )	<val3> 区切りで <val5> を読み、 <name4> とする
<name4> = pd . read_csv ( <val1> , sep = <val5> )	<val5> 区切りで <val1> を読んだ結果を <name4> に代入する
pd . read_csv ( <val6> , sep = ',' )	<val6> からデータフレームをカンマ区切りで読み込む
pd . read_csv ( <val6> , sep = ',' )	<val6> から表をカンマ区切りで読み込む
pd . read_csv ( <val1> , sep = <val6> )	<val1> から表を <val6> 区切りで読む
<name3> = pd . read_csv ( <val2> , sep = ',' )	<val2> からデータフレームをカンマ区切りで読み込み、 <name3> にする
<name4> = pd . read_csv ( <val2> , sep = ',' )	<val2> からデータフレームをカンマ区切りで読み込まれた結果を <name4> とする
<name2> = pd . read_csv ( <val3> , sep = ',' )	<val3> から表をカンマ区切りで読み込んで、 <name2> に代入する
<name3> = pd . read_csv ( <val4> , sep = ',' )	<val4> から表をカンマ区切りで読み込まれた結果を <name3> にする
<name3> = pd . read_csv ( <val1> , sep = <val4> )	<val1> から表を <val4> 区切りで読み、 <name3> にする
<name2> = pd . read_csv ( <val4> , sep = <val3> )	<val4> から表を <val3> 区切りで読んだ結果を <name2> とする
pd . read_csv ( <val3> , sep = ',' )	データフレームを <val3> からカンマ区切りで読み込む
pd . read_csv ( <val3> , sep = <val4> )	表を <val3> から <val4> 区切りで読む
pd . read_csv ( <val1> , sep = <val4> )	表データを <val1> から <val4> 区切りで読む
<name5> = pd . read_csv ( <val6> , sep = ',' )	データフレームを <val6> からカンマ区切りで読み込み、 <name5> にする
<name5> = pd . read_csv ( <val1> , sep = ',' )	データフレームを <val1> からカンマ区切りで読み込んだ結果を <name5> に代入する
<name2> = pd . read_csv ( <val3> , sep = ',' )	表を <val3> からカンマ区切りで読み込んで、 <name2> にする
<name3> = pd . read_csv ( <val5> , sep = ',' )	表を <val5> からカンマ区切りで読み込んだ結果を <name3> にする
<name3> = pd . read_csv ( <val4> , sep = <val2> )	表データを <val4> から <val2> 区切りで読んで、 <name3> とする
<name4> = pd . read_csv ( <val5> , sep = <val3> )	表データを <val5> から <val3> 区切りで読んだ結果を <name4> に代入する
pd . read_csv ( <val2> , sep = ',' )	データフレームとして <val2> をカンマ区切りで読み込む
pd . read_csv ( <val2> , sep = <val4> )	<val2> を <val4> 区切りで読む
pd . read_csv ( <val6> , sep = <val1> )	データフレームとして <val6> を <val1> 区切りで読む
<name2> = pd . read_csv ( <val4> , sep = ',' )	表として <val4> をカンマ区切りで読み込み、 <name2> に代入する
<name4> = pd . read_csv ( <val5> , sep = ',' )	表として <val5> をカンマ区切りで読み込まれた結果を <name4> にする
<name4> = pd . read_csv ( <val1> , sep = ',' )	<val1> をカンマ区切りで読み込み、 <name4> とする
<name2> = pd . read_csv ( <val3> , sep = ',' )	<val3> をカンマ区切りで読み込んだ結果を <name2> にする
<name2> = pd . read_csv ( <val1> , sep = <val5> )	表データとして <val1> を <val5> 区切りで読み、 <name2> とする
<name3> = pd . read_csv ( <val2> , sep = <val5> )	表データとして <val2> を <val5> 区切りで読んだ結果を <name3> とする
pd . read_csv ( <val4> , sep = ',' )	CSV ファイル <val4> をカンマ区切りで読み込む
pd . read_csv ( <val6> , sep = <val3> )	CSV <val6> を <val3> 区切りで読む
pd . read_csv ( <val4> , sep = ',' )	CSV データ <val4> をカンマ区切りで読み込む
<name5> = pd . read_csv ( <val3> , sep = ',' )	CSV ファイル <val3> をカンマ区切りで読み込んで、 <name5> に代入する
<name1> = pd . read_csv ( <val3> , sep = ',' )	CSV ファイル <val3> をカンマ区切りで読み込んだ結果を <name1> にする
<name2> = pd . read_csv ( <val3> , sep = <val6> )	CSV <val3> を <val6> 区切りで読み、 <name2> に代入する
<name2> = pd . read_csv ( <val5> , sep = <val6> )	CSV <val5> を <val6> 区切りで読んだ結果を <name2> に代入する
<name2> = pd . read_csv ( <val1> , sep = <val6> )	CSV データ <val1> を <val6> 区切りで読み、 <name2> に代入する
<name6> = pd . read_csv ( <val2> , sep = <val3> )	CSV データ <val2> を <val3> 区切りで読んだ結果を <name6> とする
pd . read_csv ( <val2> , sep = ',' )	データフレームを CSV ファイル <val2> からカンマ区切りで読み込む
pd . read_csv ( <val2> , sep = <val5> )	表データを CSV <val2> から <val5> 区切りで読む
pd . read_csv ( <val1> , sep = <val5> )	表を CSV データ <val1> から <val5> 区切りで読む
<name2> = pd . read_csv ( <val3> , sep = ',' )	データフレームを CSV ファイル <val3> からカンマ区切りで読み込んで、 <name2> にする
<name2> = pd . read_csv ( <val1> , sep = ',' )	データフレームを CSV ファイル <val1> からカンマ区切りで読み込まれた結果を <name2> に代入する
<name6> = pd . read_csv ( <val2> , sep = <val3> )	表データを CSV <val2> から <val3> 区切りで読んで、 <name6> に代入する
<name5> = pd . read_csv ( <val6> , sep = <val3> )	表データを CSV <val6> から <val3> 区切りで読んだ結果を <name5> とする
<name4> = pd . read_csv ( <val5> , sep = <val1> )	表を CSV データ <val5> から <val1> 区切りで読み、 <name4> とする
<name3> = pd . read_csv ( <val5> , sep = <val1> )	表を CSV データ <val5> から <val1> 区切りで読んだ結果を <name3> とする
pd . read_csv ( <val3> , sep = ',' )	データフレームとして CSV ファイル <val3> をカンマ区切りで読み込む
pd . read_csv ( <val5> , sep = <val3> )	表データとして CSV <val5> を <val3> 区切りで読む
pd . read_csv ( <val4> , sep = <val2> )	表として CSV データ <val4> を <val2> 区切りで読む
<name4> = pd . read_csv ( <val1> , sep = ',' )	データフレームとして CSV ファイル <val1> をカンマ区切りで読み込んで、 <name4> に代入する
<name3> = pd . read_csv ( <val2> , sep = ',' )	データフレームとして CSV ファイル <val2> をカンマ区切りで読み込んだ結果を <name3> に代入する
<name3> = pd . read_csv ( <val4> , sep = <val2> )	CSV <val4> を表データとして <val2> 区切りで読んで、 <name3> に代入する
<name6> = pd . read_csv ( <val1> , sep = <val3> )	CSV <val1> を表データとして <val3> 区切りで読んだ結果を <name6> とする
<name1> = pd . read_csv ( <val4> , sep = <val6> )	表として CSV データ <val4> を <val6> 区切りで読み、 <name1> にする
<name6> = pd . read_csv ( <val5> , sep = <val2> )	表として CSV データ <val5> を <val2> 区切りで読んだ結果を <name6> にする
pd . read_csv ( <val6> , sep = '\t' )	<val6> をタブ区切りで読み込む
pd . read_csv ( <val2> , sep = '\t' )	<val2> をタブ区切りで読む
<name1> = pd . read_csv ( <val6> , sep = '\t' )	<val6> をタブ区切りで読み込んで、 <name1> とする
<name3> = pd . read_csv ( <val5> , sep = '\t' )	<val5> をタブ区切りで読み込んだ結果を <name3> に代入する
<name2> = pd . read_csv ( <val3> , sep = '\t' )	<val3> をタブ区切りで読んで、 <name2> にする
<name1> = pd . read_csv ( <val3> , sep = '\t' )	<val3> をタブ区切りで読まれた結果を <name1> にする
pd . read_csv ( <val2> , sep = '\t' )	タブ区切りで <val2> を読み込む
pd . read_csv ( <val5> , sep = '\t' )	タブ区切りで <val5> を読む
<name6> = pd . read_csv ( <val5> , sep = '\t' )	タブ区切りで <val5> を読み込んで、 <name6> にする
<name5> = pd . read_csv ( <val6> , sep = '\t' )	タブ区切りで <val6> を読み込んだ結果を <name5> にする
<name4> = pd . read_csv ( <val3> , sep = '\t' )	タブ区切りで <val3> を読んで、 <name4> にする
<name2> = pd . read_csv ( <val5> , sep = '\t' )	タブ区切りで <val5> を読まれた結果を <name2> に代入する
pd . read_csv ( <val1> , sep = '\t' )	<val1> からデータフレームをタブ区切りで読み込む
pd . read_csv ( <val1> , sep = '\t' )	<val1> から表データをタブ区切りで読む
pd . read_csv ( <val3> , sep = '\t' )	<val3> から表をタブ区切りで読み込む
<name5> = pd . read_csv ( <val2> , sep = '\t' )	<val2> からデータフレームをタブ区切りで読み込み、 <name5> とする
<name4> = pd . read_csv ( <val2> , sep = '\t' )	<val2> からデータフレームをタブ区切りで読み込んだ結果を <name4> にする
<name5> = pd . read_csv ( <val1> , sep = '\t' )	<val1> から表データをタブ区切りで読んで、 <name5> にする
<name1> = pd . read_csv ( <val2> , sep = '\t' )	<val2> から表データをタブ区切りで読んだ結果を <name1> に代入する
<name4> = pd . read_csv ( <val2> , sep = '\t' )	<val2> から表をタブ区切りで読んで、 <name4> とする
<name2> = pd . read_csv ( <val3> , sep = '\t' )	<val3> から表をタブ区切りで読まれた結果を <name2> とする
pd . read_csv ( <val1> , sep = '\t' )	データフレームを <val1> からタブ区切りで読み込む
pd . read_csv ( <val2> , sep = '\t' )	表を <val2> からタブ区切りで読み込む
pd . read_csv ( <val4> , sep = '\t' )	表データを <val4> からタブ区切りで読む
<name3> = pd . read_csv ( <val4> , sep = '\t' )	データフレームを <val4> からタブ区切りで読み込み、 <name3> とする
<name3> = pd . read_csv ( <val4> , sep = '\t' )	データフレームを <val4> からタブ区切りで読み込んだ結果を <name3> にする
<name5> = pd . read_csv ( <val1> , sep = '\t' )	表を <val1> からタブ区切りで読み、 <name5> に代入する
<name6> = pd . read_csv ( <val1> , sep = '\t' )	表を <val1> からタブ区切りで読まれた結果を <name6> にする
<name5> = pd . read_csv ( <val2> , sep = '\t' )	表データを <val2> からタブ区切りで読んで、 <name5> にする
<name5> = pd . read_csv ( <val2> , sep = '\t' )	表データを <val2> からタブ区切りで読んだ結果を <name5> にする
pd . read_csv ( <val6> , sep = '\t' )	表として <val6> をタブ区切りで読み込む
pd . read_csv ( <val2> , sep = '\t' )	<val2> をタブ区切りで読む
pd . read_csv ( <val4> , sep = '\t' )	データフレームとして <val4> をタブ区切りで読み込む
<name5> = pd . read_csv ( <val4> , sep = '\t' )	表として <val4> をタブ区切りで読み込み、 <name5> にする
<name2> = pd . read_csv ( <val1> , sep = '\t' )	表として <val1> をタブ区切りで読み込まれた結果を <name2> とする
<name1> = pd . read_csv ( <val4> , sep = '\t' )	<val4> をタブ区切りで読んで、 <name1> にする
<name6> = pd . read_csv ( <val4> , sep = '\t' )	<val4> をタブ区切りで読んだ結果を <name6> にする
<name4> = pd . read_csv ( <val1> , sep = '\t' )	表データとして <val1> をタブ区切りで読んで、 <name4> にする
<name5> = pd . read_csv ( <val3> , sep = '\t' )	表データとして <val3> をタブ区切りで読んだ結果を <name5> に代入する
pd . read_csv ( <val1> , sep = '\t' )	CSV ファイル <val1> をタブ区切りで読み込む
pd . read_csv ( <val5> , sep = '\t' )	CSV <val5> をタブ区切りで読む
pd . read_csv ( <val2> , sep = '\t' )	CSV データ <val2> をタブ区切りで読み込む
<name5> = pd . read_csv ( <val6> , sep = '\t' )	CSV ファイル <val6> をタブ区切りで読み込み、 <name5> にする
<name6> = pd . read_csv ( <val2> , sep = '\t' )	CSV ファイル <val2> をタブ区切りで読み込まれた結果を <name6> に代入する
<name6> = pd . read_csv ( <val1> , sep = '\t' )	CSV データ <val1> をタブ区切りで読み、 <name6> に代入する
<name3> = pd . read_csv ( <val6> , sep = '\t' )	CSV データ <val6> をタブ区切りで読んだ結果を <name3> とする
<name1> = pd . read_csv ( <val2> , sep = '\t' )	CSV <val2> をタブ区切りで読んで、 <name1> とする
<name2> = pd . read_csv ( <val5> , sep = '\t' )	CSV <val5> をタブ区切りで読まれた結果を <name2> に代入する
pd . read_csv ( <val1> , sep = '\t' )	データフレームを CSV ファイル <val1> からタブ区切りで読み込む
pd . read_csv ( <val5> , sep = '\t' )	表を CSV データ <val5> からタブ区切りで読み込む
pd . read_csv ( <val6> , sep = '\t' )	表データを CSV <val6> からタブ区切りで読む
<name4> = pd . read_csv ( <val3> , sep = '\t' )	データフレームを CSV ファイル <val3> からタブ区切りで読み込んで、 <name4> にする
<name2> = pd . read_csv ( <val5> , sep = '\t' )	データフレームを CSV ファイル <val5> からタブ区切りで読み込んだ結果を <name2> とする
<name6> = pd . read_csv ( <val3> , sep = '\t' )	表データを CSV <val3> からタブ区切りで読み、 <name6> に代入する
<name4> = pd . read_csv ( <val3> , sep = '\t' )	表データを CSV <val3> からタブ区切りで読んだ結果を <name4> にする
<name4> = pd . read_csv ( <val1> , sep = '\t' )	表を CSV データ <val1> からタブ区切りで読み込み、 <name4> に代入する
<name3> = pd . read_csv ( <val6> , sep = '\t' )	表を CSV データ <val6> からタブ区切りで読み込んだ結果を <name3> にする
pd . read_csv ( <val6> , sep = '\t' )	データフレームとして CSV ファイル <val6> をタブ区切りで読み込む
pd . read_csv ( <val2> , sep = '\t' )	CSV データ <val2> を表としてタブ区切りで読み込む
pd . read_csv ( <val6> , sep = '\t' )	表として CSV データ <val6> をタブ区切りで読み込む
<name1> = pd . read_csv ( <val4> , sep = '\t' )	データフレームとして CSV ファイル <val4> をタブ区切りで読み込んで、 <name1> にする
<name4> = pd . read_csv ( <val2> , sep = '\t' )	データフレームとして CSV ファイル <val2> をタブ区切りで読み込んだ結果を <name4> にする
<name2> = pd . read_csv ( <val1> , sep = '\t' )	CSV ファイル <val1> をデータフレームとしてタブ区切りで読み込んで、 <name2> に代入する
