def euler002():	関数euler002の定義
facts = [1] * (n + 1)	factsに1がn+1個繋がったリストを格納
for x in range(n):	n未満の非負整数xを小さい方から順に
facts[x + 1] = facts[x] * (x + 1)	factsのx+1番目の要素にx番目の要素とx+1積を代入する
return facts	factsを返す
def euler015_pascal_triangle(n):	nを引数とする関数euler015_pascal_triangleの定義
if n == 1:	もしnが1と等しければ
return [1]	1のみからなるリストを返す
else:	そうでなければ
l = euler015_pascal_triangle(n - 1)	euler015_pascal_triangleにn-1を渡した結果をlとする
ret = [l[0], l[-1]]	retをlの最初の要素と末尾の要素からなるリストとする
for i in range(n - 2):	n-2未満の非負整数iを小さい方から順に調べる
ret.insert(i + 1, l[i] + l[i + 1])	retのi+1番目にlのi番目とi+1番目の要素の和を追加する
return ret	retを返す
def euler016():	関数euler016の定義
q = str(2**1000)	qに2の1000乗の文字列表現を格納
s = 0	sに0を代入
for x in q:	qの各要素を前から順にxとして
s += int(x)	sにxを表す整数を足す
return s	sを返す
def euler016_all_digit_sum(n):	nを引数とする関数euler016_all_digit_sumの定義
q = str(n)	qにnの文字列表現を格納
s = 0	sに0を代入
for ch in q:	qの各要素を前から順にchとして
s += int(ch)	sにchの表す整数を足す
return s	sを返す
def euler016_n_separate_digit(n):	nを引数とする関数euler016_n_separate_digitの定義
ret = [n % 10]	retをnを10で割った余りのみからなるリストとする
while int(n / 10) > 0:	nを10で割った整数部分が0でない間繰り返し
n = int(n / 10)	nを10で割った整数部分を新しいnとする
ret.insert(0, n % 10)	retの先頭にnを10で割った余りを追加する
return ret	retを返す
def euler016_a_exp_b(a, b):	aとbを引数とする関数euler016_a_exp_bの定義
res = 1	resを1とする
c = 0	cを0とする
while c < b:	cがbより小さい間
res *= a	resにaを掛ける
c += 1	cに1を足す
return res	resを返す
def euler016_a_exp_b_a(a, b):	aとbを引数とする関数euler016_a_exp_b_aの定義
return a**b	aのb乗を返す
def euler017():	関数euler017の定義
ret = 0	retに0を代入
for n in range(1, 1001):	1から1001未満の数を順にnとして
if n <= 20:	もしnが20以下であれば
ret += len(word[n])	retにwordのn番目の要素の長さを足す
elif len(str(n)) == 2:	そうでなくて、もしnの文字列表現の長さが2であれば
ret += len(twoword[int(n / 10)])	towordのn/10番目の要素の長さをretに足す
ret += len(word[n % 10])	wordのn%10番目の要素の長さをretに足す
elif len(str(n)) == 3:	そうでなくて、もしnの文字列表現の長さが3であれば
ret += len(word[int(n / 100)])	wordのn/100番目の要素の長さをretに足す
ret += len("hundredand")	hundredandの文字数をretに足す
a = n % 100	aにnを100で割った余りを代入
if a != 0 and a <= 20:	もしaが0でなくて、かつaが20以下であれば
ret += len(word[a])	retにwordのa番目の要素の長さを足す
elif a == 0:	そうでなくて、もしaが0であれば
ret -= 3	retから3を引く
else:	いずれでもなければ
ret += len(twoword[int(a / 10)])	retにtowordのa/10番目の要素の長さを足す
ret += len(word[a % 10])	retにwordのa%10番目の要素の長さを足す
else:	上記のいずれでもなければ
ret += len("onethousand")	retに"onethousand"の文字数を足す
return ret	retを返す
def euler017_digit_separate(n):	nを引数とする関数euler017_digit_separateの定義
q = str(n)	qをnの文字列表現とする
ret = []	retを空リストとする
for ch in q:	qの各要素を前から順にchとして
ret.append(int(ch))	retの末尾にchの表す整数を追加
return ret	retを返す
def euler017_digit_count(n):	nを引数とする関数euler017_digit_countを定義
c = 1	cに1を代入
while int(n / 10) > 0:	nを10で割った整数部分が0より大きい間
n /= 10	nを10で割る
c += 1	cに1を足す
return c	cを返す
def euler017_ones_to_string(n):	nを引数とする関数euler017_ones_to_stringを定義
return word[n % 10]	wordのn%10番目を返す
def euler017_is_equal(a, b):	aとbを引数とする関数euler017_is_equalの定義
return a == b	aとbが等しければTrue、そうでなければFalseを返す
def euler017_divid_integer_part(a, b):	aとbを引数とする関数euler-17_divid_inateger_partを定義
return int(a / b)	aをbで割った整数部分を返す
def euler017_string_length(s):	sを引数とする関数euler017_string_lengthの定義
c = 0	cに0を代入
for ch in s:	s内の各要素をchとして
c += 1	cに1を足す
return c	cを返す
def euler017_string_length_a(s):	sを引数とする関数euler017_string_length_aを定義
return len(s)	sの長さを返す
def euler018():	関数euler018の定義
for i in reversed(range(len(tri) - 1)):	triの長さ-1未満の非負整数を大きい方からiとして
for j in range(len(tri[i])):	triのi番目の長さ未満の非負整数を小さい方からjとして
tri[i][j] += max(tri[i + 1][j], tri[i + 1][j + 1])	tri[i+1][j]とtri[i+1][j+1]の大きい方をtri[i][j]に足す
return tri[0][0]	triの先頭要素の先頭要素を返す
def euler019():	関数euler019の定義
d = 365	dに365を代入
sd = 0	sdに0を代入
for y in range(1901, 2001):	1901以上2001未満の整数を順にyとして
for i, day in enumerate(days):	dayをdaysの各要素、iをその番号として
if d % 7 == 6:	もしdを7で割った余りが6であれば
sd += 1	sdに1を足す
d += day 	dにdayを足す
if (y % 400 == 0 or ((not y % 100 == 0) and y % 4 == 0)) and i == 1:	yが400で割り切れるか、100で割り切れずに4で割り切れ、さらにiが1である場合、
d += 1	dに1を足す
return sd	sdを返す
def euler019_is_leap_year(y):	yを引数とする関数euler019_is_leap_yearを定義
return y % 400 == 0 or ((not y % 100 == 0) and y % 4 == 0)	yが400で割り切れるか、100で割り切れずに4で割り切れる場合True、そうでない場合Falseを返す。
def euler019_names_of_the_day(y, m, d):	yとmとdを引数とする関数euler019_names_of_the_dayを定義
if m <= 2:	もしmが2以下であれば
m += 12	mに12を足す
y -= 1	yから1を引く
gamma = 0	gammaに0を代入
if 1582 <= y:	もしyが1582以上であれば
gamma = -2 * int(y / 100) + int( int(y / 100) / 4 )	gammaにy/100の整数部分の-2倍とy/100の整数部分を4で割った整数部分の和を代入
else:	そうでなければ
gamma = -1 * int(y / 100) + 5	gammaにyを100で割った整数部分の-1倍に5を足したものを代入
h = (d + int(26 * (m + 1) / 10) + (y % 100) + int((y % 100) / 4) + gamma) % 7	hにd、26(m+1)/10の整数部分、yyを100で割った余り、y%100/4の整数部分、gammaを足した結果を代入
return name[h]	nameのh番目を返す
def euler020():	関数euler020の定義
fact = 1	factに1を代入
for i in range(100):	100未満の非負整数を小さい方から順にiとして
fact *= (i + 1)	factにi+1を掛ける
s = str(fact)	sにfactの文字列表現を代入
q = []	qに空リストを代入
for ch in s:	sの各要素を順にchとして
q.append(int(ch))	qの末尾ににchの表す整数を追加
return sum(q)	qの全要素の総和を返す
def euler020_factorial(n):	nを引数とする関数euler020_factorialの定義
ret = 1	retに1を代入
for x in range(n):	n未満の非負整数を小さい方から順にxとして
ret *= (x + 1)	retにx+1を掛ける
return ret	retを返す
def euler020_digit_sum(n):	nを引数とする関数euler020_digit_sumの定義
q = str(n)	qにnの文字列表現を代入
s = 0	sに0を代入
for x in q:	qの各要素を順にxとして
s += int(x)	sにxの表す整数を足す
return s	sを返す
